	sequences per sample	iteration	California.HC21	Sweden.IBD.060A	Sweden.HC.7	AHD.89	Nor.C2	Nor.C10	AHD.14	Finland.HC.13	Sweden.IBD.098A	Leda.A61	France.DC10	Finland.HC.11	Sweden.HC.12	AHD.31	Leda.A1	Leda.C9	Mel.TX.HC9	France.DC7	Mel.TX.HC13	Leda.C73	RVC08	Nor.C3	California.HC18	California.HC28	Mel.TX.HC16	Leda.C33	RVC.17	Leda.C1	Sweden.HC.23	RVC06	Sweden.IBD.066A	Leda.C41	Finland.HC.10	Sweden.HC.4	Sweden.HC.11	Nor.C6	Sweden.HC.3	California.HC27	Finland.HC.20	California.HC17	AHD.23	Leda.A73	AHD.13	AHD.30	Mel.TX.HC7	California.HC12	Sweden.HC.17	RVC19	France.DC2	RVC05	Finland.HC.4	RVC12	Leda.A5	Sweden.HC.13	RVC01	Leda.A21	Leda.A29	Leda.C81	Sweden.IBD.102A	RVC07	France.DC15	France.DC11	France.DC5	Leda.C37	AHD.73	Nor.C12	AHD.16	RVC10	Nor.C9	Nor.C7	France.DC1	Leda.A53	AHD.17	AHD.43	Sweden.HC.2	Sweden.IBD.065A	France.DC17	Leda.C87	Leda.C85	Nor.C16	AHD.83	RVC15	AHD.22	RVC03	Leda.A33	France.DC4	Nor.C17	Leda.C25	Leda.A37	Leda.C21	Leda.C82	AHD.12	AHD.18	France.DC16	Finland.HC.6	Mel.TX.HC3	Mel.TX.HC10	Sweden.HC.21	Mel.TX.HC8	France.DC13	AHD.19	Sweden.HC.19	RVC14	AHD.82	Sweden.IBD.100A	AHD.15	Nor.C14	Leda.A25	California.HC24	Finland.HC.15	California.HC7	Finland.HC.3	France.DC9	France.DC8	Sweden.IBD.099A	AHD.11	AHD.74	AHD.51	AHD.71	California.HC14	Sweden.HC.9	Nor.C1	AHD.88	AHD.61	Mel.TX.HC15	Sweden.HC.1	Finland.HC.14	AHD.21	Sweden.HC.6	Leda.C13	California.HC20	Mel.TX.HC6	Sweden.HC.16	AHD.94	Sweden.IBD.061A	Mel.TX.HC2	Sweden.IBD.067A	California.HC13	Finland.HC.12	California.HC25	Finland.HC.19	Finland.HC.21	Leda.A13	Leda.C53	Sweden.IBD.064A	Mel.TX.HC4
alpha_rarefaction_500_0.txt	500	0	10.48769	5.71104	6.78725	8.66973	5.50353	4.37155	8.14621	7.58647	5.00067	9.99625	5.537	5.88403	8.72744	7.47871	6.11954	6.85288	10.51894	6.2538	9.74302	5.61365	4.21626	7.3029	6.79447	6.80519	6.84666	6.00807	7.37472	6.21127	4.63988	6.25132	9.17695	6.98963	5.40442	5.93368	10.02371	4.6624	7.58633	9.69508	9.90005	8.93314	5.22401	7.74882	7.11738	4.89853	5.08935	6.71553	9.23151	4.89082	7.35885	5.15347	8.14926	4.18179	4.32344	8.24002	6.3849	4.38436	6.99585	8.21116	5.88383	6.09564	7.73031	5.92955	6.95395	8.3142	6.9086	6.18616	5.77959	3.49075	3.5369	4.7642	8.04761	5.42782	7.31597	6.86836	10.22958	6.94073	10.98737	7.96307	10.0639	5.50881	8.14777	4.98439	5.48954	10.34159	4.6045	5.67589	5.87847	9.30803	3.78666	10.84349	9.75138	9.07271	9.46664	3.37845	7.69885	7.49788	6.30626	6.78647	8.16905	4.52163	6.09033	7.41231	6.73646	6.7877	5.41738	6.76371	6.96706	5.23019	7.0279	8.33257	7.51505	8.04713	3.45539	4.73082	6.06481	7.96425	9.26982	8.55445	7.47666	5.95802	6.32179	10.08403	8.89396	10.0278	7.09374	7.87141	7.18404	6.94326	7.74222	5.82296	6.40176	7.16812	7.85136	9.74563	4.72387	8.19054	4.64473	8.54429	10.71411	5.44443	9.08622	6.06329	5.00586	10.85115	6.17332	4.81631
alpha_rarefaction_500_1.txt	500	1	10.3011	6.35651	6.78443	7.61746	6.30079	4.3692	8.07082	7.55126	6.03398	11.17425	5.75565	5.70619	8.53208	7.79509	6.30184	5.59037	8.58342	5.27964	10.02358	4.97039	3.77718	6.70557	8.21595	6.30361	7.23803	5.76463	6.81947	6.59884	4.37485	6.95244	7.57223	6.91804	6.52774	5.62194	7.80899	4.5493	8.34159	9.20453	10.11072	8.75758	6.16447	7.30836	7.7548	4.77566	5.30969	7.1838	9.32439	5.31296	8.82108	5.72562	9.00982	2.76999	4.25947	7.75564	5.93102	3.64307	6.6147	7.60271	7.04348	5.93573	7.79702	5.73336	6.07605	8.17488	6.96921	5.40623	5.33866	3.82518	3.49892	4.84517	8.23848	4.94134	6.01277	8.86856	10.91827	7.70514	11.10461	7.31961	9.70205	5.68665	8.25413	5.40184	7.15133	9.29109	4.53292	5.99274	6.78441	8.57764	3.50862	10.01108	9.26169	10.06618	9.69051	3.70365	7.27071	6.22543	4.59651	7.48194	8.44481	6.09356	7.59385	7.92341	5.66926	7.73813	4.69863	7.39227	7.36745	4.61229	6.09216	7.66351	6.38976	8.631	3.80602	5.03431	5.67278	7.26025	8.26261	7.5303	7.93136	6.02916	6.80768	9.33824	8.62817	9.64565	7.77179	8.69414	6.83131	7.20984	6.15867	6.32811	6.86734	7.44288	8.40183	10.0416	4.81727	9.7211	5.2037	9.22167	9.79751	5.83679	9.44261	6.21097	5.87327	11.27581	5.45483	5.88429
alpha_rarefaction_500_2.txt	500	2	9.87237	5.31511	6.98767	8.4672	6.36831	3.97827	8.49871	7.45663	5.63204	9.18222	6.24364	6.32086	8.26849	8.21379	5.68008	7.22441	9.5833	4.80627	8.35123	6.11022	3.74661	6.34045	6.99974	7.04919	6.9336	6.14626	6.62206	6.54016	4.93243	7.16944	8.78754	8.12484	5.46387	7.65586	9.45913	4.36894	8.74393	8.69515	8.15175	7.89663	4.88563	7.44881	6.3828	5.15983	3.99599	5.84053	8.17619	5.01914	7.54804	4.93114	7.96952	3.36108	4.82345	7.55699	6.71299	5.12122	6.26238	6.95734	5.86231	5.9819	7.7463	6.40286	6.58259	8.19309	6.59577	5.9054	5.64135	4.45971	3.20432	4.61871	8.51871	5.54462	7.90798	8.00337	10.34865	7.94088	11.81385	8.25796	10.61192	5.7283	7.62159	5.56791	5.43126	9.78232	4.47269	5.40045	6.80982	10.13866	3.62446	9.96683	11.05398	9.32945	8.42594	4.17042	7.49312	8.06982	4.98346	7.18138	9.56448	4.90589	7.44921	7.28746	7.48589	7.72234	5.49882	6.12353	5.54624	5.5997	6.64658	7.096	6.70033	8.09399	3.72379	4.17516	5.04339	6.80784	8.51343	8.68145	7.54928	6.62201	6.87063	9.97398	8.27194	10.07199	7.82538	7.86183	6.57922	8.52309	5.16944	5.89529	5.89909	8.05488	8.12415	9.26994	4.22021	8.14763	5.56056	8.90593	9.79116	6.0196	9.42933	5.68215	4.86165	10.71537	6.11989	5.61375
alpha_rarefaction_500_3.txt	500	3	9.9165	6.54348	7.73435	8.62888	6.28425	4.60577	8.60468	8.05204	5.41241	10.09463	5.97619	6.59444	8.18882	6.63195	5.93414	5.22313	8.80239	4.5146	9.87773	6.62034	4.50296	5.50232	8.20887	6.41643	7.33734	5.50139	6.7646	6.11248	3.25165	6.79877	9.05194	6.99685	6.87414	5.12829	8.91958	5.62609	9.29872	9.05253	8.89251	8.14387	4.7523	7.34187	7.26834	4.83219	4.67524	6.2226	9.67226	5.57272	9.19499	5.08261	7.9015	3.22084	4.93433	8.12647	6.12278	4.40239	7.8675	8.37888	7.44377	5.72467	7.84995	6.54054	7.40038	7.51365	6.32137	5.86654	6.24125	4.85278	4.09113	4.18002	7.80477	6.15046	7.25222	7.49994	11.11456	6.85203	9.19072	7.579	9.32272	5.75411	7.48547	5.67567	5.06584	10.95018	4.53016	5.76453	6.6473	8.75004	4.33258	9.71092	10.51345	9.77532	9.25842	4.03952	7.58373	8.37969	6.66741	7.25318	7.9773	5.06524	6.25987	7.63896	6.76625	7.66411	4.57989	7.42905	7.0266	5.84977	6.61147	9.02072	6.56274	8.16179	4.17474	4.09246	6.05023	7.18153	9.17884	8.17158	7.60328	7.59904	6.21552	9.61024	8.36309	8.95932	7.78212	7.95339	6.42856	6.38862	6.16705	5.53329	5.85973	8.3975	7.33113	9.28793	5.22598	9.18223	3.94888	8.0927	10.47321	6.35303	10.92005	6.28863	5.36399	10.90205	5.31481	5.81516
alpha_rarefaction_500_4.txt	500	4	9.57216	6.36708	6.8224	7.76531	5.41831	4.31521	8.27464	7.84116	6.19314	9.91436	5.38431	6.8011	8.83183	6.85961	3.82221	6.33371	8.51633	4.63377	10.33424	6.67266	3.03286	6.59944	8.16526	6.45366	7.71022	6.33833	7.26538	6.60173	4.00384	7.24352	7.4749	7.75008	6.22993	5.08791	8.53766	4.27629	8.30578	9.50374	9.89305	8.75241	4.81309	6.28718	5.77164	6.71946	5.20562	6.14447	9.36256	5.55196	7.69245	4.49509	8.36375	3.06358	4.5223	8.06469	6.31772	4.45316	7.97604	7.40961	6.66328	6.27007	7.03599	5.87418	6.94934	8.65687	6.44016	5.86191	5.4568	3.79373	3.52204	4.45652	6.97557	5.30436	7.81676	8.00597	10.0405	7.78311	11.39843	7.4783	11.00476	5.82222	7.14573	6.10236	5.84236	10.01937	5.21642	6.33819	6.45338	9.87502	4.20573	10.22771	11.67231	8.22107	8.69507	4.5888	6.76681	7.87812	5.42845	6.34095	7.72841	5.56374	6.58822	8.34923	7.15204	8.10395	3.79942	7.36992	6.92861	4.563	6.46106	8.09512	7.23347	8.31788	4.75591	3.49923	5.65288	6.80178	9.88006	8.28584	7.355	5.92193	5.74703	10.8177	8.86157	9.55861	7.6185	7.70625	5.93457	7.98194	6.12512	4.8537	6.04672	8.92608	7.89081	11.73576	4.73184	8.41783	4.84699	8.39186	10.68797	6.57219	9.88598	5.79286	4.45604	11.25082	5.04497	6.00865
alpha_rarefaction_500_5.txt	500	5	10.54036	6.36176	7.6954	7.71367	7.15539	3.91927	8.45579	7.29345	6.25232	9.39188	6.25661	5.94547	8.36863	7.39352	5.24651	6.01376	8.81175	4.12981	9.5752	5.56121	3.80381	5.62543	7.78844	6.46331	6.70652	5.91649	7.04739	7.71811	5.82205	6.77933	8.8669	8.27892	5.50978	5.12995	7.96123	4.65337	7.75515	10.17172	8.73155	8.89919	5.68105	7.20078	7.65419	4.79081	4.16577	6.55668	10.04056	4.54905	7.69069	5.17032	7.97659	2.65553	4.64432	8.96031	5.31751	4.24045	6.56489	8.0914	6.54688	5.75349	7.50525	5.83267	7.19087	7.86271	5.87419	5.82225	5.24746	6.08626	3.63949	5.75061	7.48308	5.27197	7.60833	8.45613	10.00952	6.97981	11.45847	7.98327	10.03357	5.68397	7.28301	4.80478	6.06832	9.26667	5.42806	5.01643	6.17818	9.85164	3.08234	10.10496	11.39521	8.89841	10.21047	4.27678	6.69734	7.18174	4.96492	6.78832	8.49344	5.12695	7.46641	6.46988	6.69435	6.85412	5.27658	6.12971	6.79062	5.15231	6.81343	8.17732	7.10992	7.50021	3.62462	4.70367	5.99102	7.04182	8.65236	8.84173	7.94992	6.03726	6.67747	9.65027	8.18349	9.89962	6.40557	7.05889	5.8167	7.43464	6.45982	5.87967	6.15955	8.63711	7.8602	10.26416	4.33277	7.93783	4.68211	8.07559	10.95943	6.49375	11.1148	5.43868	4.46484	9.49816	5.19934	5.61379
alpha_rarefaction_500_6.txt	500	6	10.77893	6.03064	6.41908	8.78614	5.62783	4.66379	7.17451	7.38625	6.27764	9.77648	5.08843	7.62074	8.14669	6.45877	5.12649	5.81028	8.9635	5.66205	9.71375	6.45592	4.42662	6.11016	7.08022	6.5584	7.04976	5.80257	6.41058	6.61301	3.20671	6.07008	9.15535	7.55306	5.35038	6.08376	7.9903	3.93055	7.96735	8.95592	8.87892	7.76714	4.30634	6.82713	7.50149	5.00783	4.13783	6.55064	9.10357	6.29344	8.70193	5.57403	8.16202	3.08393	4.26469	7.51487	6.57362	4.17761	7.3913	7.6573	5.88101	5.80674	7.39478	6.05056	6.15938	7.52342	6.94364	6.25962	5.36267	4.24989	3.39909	4.76657	8.98932	5.06393	6.55982	8.34354	9.63094	8.20942	9.5154	7.51438	10.01439	5.76721	7.71428	5.26597	6.33991	9.97945	5.04442	5.51688	5.96246	9.53462	3.45143	10.52692	10.24764	8.92915	8.57253	3.97475	6.82885	7.18945	5.90148	6.64724	8.24202	6.16136	6.26826	7.54896	6.77841	7.60073	4.57046	7.41367	7.84775	5.59162	7.02468	8.84978	6.95975	8.57871	3.46247	3.7633	6.29585	7.27757	10.09406	6.76742	7.4513	6.37361	6.60074	9.32673	9.08331	9.55894	7.31607	8.55075	6.10198	6.57779	6.93837	5.32032	7.18465	6.68849	7.72315	10.90107	4.61277	8.5627	5.0587	8.35899	9.7261	5.2217	10.73355	6.23354	5.35963	10.14619	5.59863	4.65488
alpha_rarefaction_500_7.txt	500	7	9.49054	4.92698	7.5593	8.68955	5.44861	4.34519	8.0073	6.89011	5.06445	9.77833	6.41171	5.94979	8.53605	6.32725	5.25061	4.94859	9.13502	5.29843	9.16407	5.35238	3.33085	5.7546	8.21729	7.14583	7.66936	5.89834	6.48007	6.99842	4.36307	6.2903	8.40314	6.90963	5.82318	6.63682	7.92256	5.44338	8.36215	10.23977	8.66723	8.5144	4.61895	6.75043	6.12962	4.25527	4.98327	6.2207	8.63015	5.50156	6.55474	4.92814	9.41475	2.82082	4.35103	8.63625	5.26349	4.41492	7.17578	6.77605	7.8085	6.04885	7.65814	6.34243	7.35164	7.87854	7.38929	5.93562	6.30844	5.26448	3.83716	4.71599	7.80625	5.96583	6.85241	8.3	10.82268	7.62875	10.09746	6.82776	10.84126	6.16023	8.02833	5.85022	5.99384	7.95662	4.61856	5.63082	5.98828	10.75986	4.01185	10.09676	10.39574	9.50554	8.47043	3.73031	6.0612	8.0713	5.48526	7.56728	8.5129	5.57292	5.64917	8.31832	5.99669	8.13284	4.60518	7.2563	8.083	5.58238	6.18576	7.58687	6.92175	8.54657	3.87584	4.08417	6.90353	7.38401	8.19637	8.76403	8.11171	6.36788	6.243	10.28498	9.16993	9.69002	7.22284	8.61894	5.85625	8.10523	6.04607	4.88661	5.78515	7.51511	7.88677	10.08127	4.624	7.9637	4.67056	8.09167	9.83634	6.22934	10.0354	5.39546	5.14981	11.49203	4.68667	4.896
alpha_rarefaction_500_8.txt	500	8	10.22263	5.77011	6.19847	9.12264	5.82474	4.55748	8.41363	6.5455	5.43855	10.22072	6.47396	6.04109	8.2954	7.41268	5.26003	5.57697	9.11461	4.84118	8.55766	5.98704	2.90344	6.68915	7.59937	6.30782	6.42138	5.32274	6.56603	6.57836	4.04936	7.46509	8.26833	7.3008	5.3358	5.92788	9.59526	4.4026	8.79067	10.14261	9.91567	8.51063	5.28861	8.02053	7.3843	5.18378	4.00862	6.21483	9.53178	4.66527	8.10524	4.83202	9.32868	4.27852	4.11493	8.98224	6.11151	4.12901	7.55279	7.34543	6.49702	5.8899	7.06718	5.75268	7.05511	7.28549	6.24639	6.69308	5.10084	4.08374	3.39414	5.01962	7.44807	5.85841	7.76246	8.52468	8.79997	8.04123	11.71198	7.71989	9.80381	5.86314	8.17533	5.14822	5.29501	10.38696	4.86528	5.89269	6.00259	10.47306	3.74213	10.01624	11.1698	9.13938	9.60067	3.9735	7.33815	6.78188	5.19171	7.64015	7.28387	5.04412	5.79188	7.61878	7.18185	7.95681	5.3707	6.14791	7.03354	5.66283	6.89577	8.0309	6.85234	8.48782	3.44079	3.95365	5.79737	7.70076	8.35704	9.00773	6.99797	6.76738	5.89997	9.44572	9.13501	9.78447	7.48208	7.65229	5.58693	8.75232	6.14353	6.01109	6.33624	8.69389	8.33331	9.18909	5.45898	8.04166	5.17013	8.01626	10.69864	6.1236	8.96086	6.31597	4.71379	11.3263	4.63475	6.58184
alpha_rarefaction_500_9.txt	500	9	10.52837	5.41396	7.29377	7.89151	6.04452	4.37124	9.76165	8.29858	5.25451	9.17419	6.9358	6.28523	8.5434	7.09188	5.2655	4.74543	10.08074	4.65794	9.50019	5.00133	3.87491	6.96097	6.29319	6.93811	6.53492	6.36181	6.58058	7.21751	4.68139	6.82441	9.32287	7.93869	5.16758	5.79319	7.8697	4.73024	9.84804	9.51224	8.71504	7.65661	4.37561	7.18968	6.77639	4.25545	4.85474	7.03967	8.28706	5.75425	8.15278	5.45001	8.46422	4.1553	4.22842	8.13385	6.70299	4.13592	7.35052	7.06001	6.86416	6.71394	7.84455	5.83315	6.76694	8.00547	7.04025	5.99304	5.08905	4.26881	3.62193	4.78633	7.30517	4.13362	7.57768	7.6165	10.4861	7.42604	10.04474	8.58551	9.19186	5.79676	7.37616	5.92376	6.07625	9.45497	5.03997	5.71055	6.6341	10.64736	3.78493	10.13207	10.44497	9.03895	8.19303	4.60815	7.17124	7.14952	6.92661	7.32755	7.81608	4.94968	6.61199	8.31339	7.1175	7.85095	4.42526	6.54244	6.94255	5.25236	5.24179	8.07245	5.85754	8.58465	3.1458	4.78042	5.40741	7.44993	8.94036	8.36779	7.31401	6.98723	6.10799	10.73066	8.9219	9.8576	7.25384	7.88029	6.09644	7.71902	6.23391	6.39308	6.74461	8.45301	7.5811	9.06983	4.7143	9.04265	4.92834	8.52705	10.36732	6.14442	10.37956	6.15481	4.0924	10.93322	5.27669	5.96508
