	sequences per sample	iteration	California.HC21	Sweden.IBD.060A	Sweden.HC.7	AHD.89	Nor.C2	Nor.C10	AHD.14	Finland.HC.13	Sweden.IBD.098A	Leda.A61	France.DC10	Finland.HC.11	Sweden.HC.12	AHD.31	Leda.A1	Leda.C9	Mel.TX.HC9	France.DC7	Mel.TX.HC13	Leda.C73	RVC08	Nor.C3	California.HC18	California.HC28	Mel.TX.HC16	Leda.C33	RVC.17	Leda.C1	Sweden.HC.23	RVC06	Sweden.IBD.066A	Leda.C41	Finland.HC.10	Sweden.HC.4	Sweden.HC.11	Nor.C6	Sweden.HC.3	California.HC27	Finland.HC.20	California.HC17	AHD.23	Leda.A73	AHD.13	AHD.30	Mel.TX.HC7	California.HC12	Sweden.HC.17	RVC19	France.DC2	RVC05	Finland.HC.4	RVC12	Leda.A5	Sweden.HC.13	RVC01	Leda.A21	Leda.A29	Leda.C81	Sweden.IBD.102A	RVC07	France.DC15	France.DC11	France.DC5	Leda.C37	AHD.73	Nor.C12	AHD.16	RVC10	Nor.C9	Nor.C7	France.DC1	Leda.A53	AHD.17	AHD.43	Sweden.HC.2	Sweden.IBD.065A	France.DC17	Leda.C87	Leda.C85	Nor.C16	AHD.83	RVC15	AHD.22	RVC03	Leda.A33	France.DC4	Nor.C17	Leda.C25	Leda.A37	Leda.C21	Leda.C82	AHD.12	AHD.18	France.DC16	Finland.HC.6	Mel.TX.HC3	Mel.TX.HC10	Sweden.HC.21	Mel.TX.HC8	France.DC13	AHD.19	Sweden.HC.19	RVC14	AHD.82	Sweden.IBD.100A	AHD.15	Nor.C14	Leda.A25	California.HC24	Finland.HC.15	California.HC7	Finland.HC.3	France.DC9	France.DC8	Sweden.IBD.099A	AHD.11	AHD.74	AHD.51	AHD.71	California.HC14	Sweden.HC.9	Nor.C1	AHD.88	AHD.61	Mel.TX.HC15	Sweden.HC.1	Finland.HC.14	AHD.21	Sweden.HC.6	Leda.C13	California.HC20	Mel.TX.HC6	Sweden.HC.16	AHD.94	Sweden.IBD.061A	Mel.TX.HC2	Sweden.IBD.067A	California.HC13	Finland.HC.12	California.HC25	Finland.HC.19	Finland.HC.21	Leda.A13	Leda.C53	Sweden.IBD.064A	Mel.TX.HC4
alpha_rarefaction_500_0.txt	500	0	359.8	72.5	104.166666667	114.333333333	83.3333333333	61.4285714286	94.5	111.5	83.5	133.928571429	61.125	103.75	112.6	99.4285714286	74.0	265.0	166.1	76.625	132.272727273	106.75	45.2	94.2307692308	131.2	79.1111111111	112.75	92.8571428571	114.0	124.2	54.0	83.0	93.0	78.6666666667	67.1428571429	78.6666666667	175.333333333	115.5	92.0833333333	136.0	192.0	91.0	67.0	69.0	115.0	90.5	118.0	139.666666667	105.428571429	133.75	88.3636363636	102.25	130.666666667	110.0	113.0	110.333333333	65.375	136.5	93.625	109.333333333	87.4285714286	63.8666666667	109.75	62.8571428571	83.0	137.5	90.8	217.333333333	166.0	78.0	43.6	63.75	118.272727273	158.5	91.8571428571	101.428571429	133.666666667	110.333333333	124.866666667	111.6	140.583333333	67.0	102.1	51.5	78.1428571429	198.111111111	39.75	89.0	94.5454545455	196.0	69.0	138.928571429	147.428571429	92.6666666667	92.6666666667	51.5	120.0	81.0	82.5	105.142857143	88.1428571429	100.75	58.125	74.6666666667	123.0	102.6	97.75	74.1111111111	77.6666666667	55.1428571429	101.142857143	137.5	83.6666666667	161.2	76.5	68.0	103.2	84.5454545455	119.583333333	109.153846154	84.1428571429	86.0	70.1428571429	140.0	118.666666667	183.272727273	86.0	98.9090909091	164.25	84.0	76.1	125.428571429	106.166666667	95.625	110.428571429	133.272727273	51.0	101.6	68.5	170.5	124.176470588	76.3	122.625	80.0	56.0	169.928571429	51.0	74.0
alpha_rarefaction_500_1.txt	500	1	241.230769231	83.0	78.0	88.6	152.333333333	140.0	97.9090909091	103.25	83.5454545455	153.894736842	104.0	54.125	123.666666667	154.5	97.1666666667	91.625	121.8	121.5	145.066666667	79.6666666667	31.0	109.666666667	107.090909091	318.0	103.6	68.0	135.0	95.625	56.2	136.5	64.1111111111	88.5	97.6	70.4285714286	136.428571429	95.6	164.0	126.6	101.619047619	143.142857143	73.0	384.0	97.875	81.2	66.6	322.0	121.111111111	78.3333333333	211.5	76.5	98.2307692308	41.5	98.3333333333	87.0	63.25	100.25	95.5	166.75	88.1	117.0	116.111111111	55.2	62.25	101.875	114.125	205.0	59.25	45.6	119.0	80.5	129.1	66.0	60.0	115.625	165.5	90.5	140.0	119.0	222.125	62.1428571429	106.0	140.0	94.25	93.2	44.5	122.25	141.666666667	99.0	66.0	142.571428571	125.214285714	130.333333333	116.5	57.4285714286	78.25	51.1666666667	77.0	137.2	117.0	78.5454545455	107.25	77.1111111111	90.625	85.6666666667	66.5	74.8823529412	130.363636364	38.0	65.0	82.25	80.0	224.0	85.0	71.0	178.0	68.1111111111	84.0	96.3333333333	101.0	104.333333333	68.0	145.076923077	113.090909091	103.0	144.666666667	144.909090909	61.0	105.0	78.625	83.0	102.0	99.875	108.0	105.066666667	51.0	156.0	86.1666666667	99.3636363636	116.333333333	90.4285714286	180.5	88.5	77.1428571429	120.0	38.1666666667	77.0
alpha_rarefaction_500_2.txt	500	2	370.111111111	63.0	184.0	146.375	79.6666666667	59.0	120.0	148.0	123.2	135.272727273	118.2	77.6666666667	118.125	130.0	77.75	105.0	157.0	141.0	123.125	131.6	61.0	107.2	103.25	95.0	98.2307692308	89.625	66.1111111111	123.428571429	44.6	148.0	144.0	154.875	105.5	107.666666667	149.0	57.5	104.0	116.333333333	113.5	104.875	132.0	166.25	95.6	104.125	85.5	227.5	80.0	294.0	124.0	55.0	103.909090909	67.2	77.0	72.375	73.6666666667	168.0	133.428571429	71.375	73.0	99.3333333333	122.0	100.2	86.1666666667	145.0	95.6	80.0	59.2	129.75	40.0	100.333333333	174.3	89.0	103.2	180.428571429	125.352941176	101.0	149.588235294	100.75	146.75	113.0	208.0	47.0	84.1666666667	119.0	45.2	90.0	90.8333333333	172.1	54.0	170.0	119.625	134.111111111	110.428571429	89.5	75.6666666667	112.0	120.0	80.0833333333	151.5	67.1428571429	65.4285714286	95.5	148.5	79.875	75.0	78.0833333333	84.5	68.1428571429	106.0	72.0	154.5	90.25	71.3333333333	47.0	72.0	74.3	144.3	101.363636364	80.25	67.5	75.0	162.833333333	97.1	119.071428571	105.428571429	86.0	92.0	117.125	67.25	134.25	321.0	123.0	94.0	146.857142857	86.5	116.0	79.0	123.571428571	109.8	81.6666666667	129.9375	114.0	82.5	181.0	51.1428571429	133.0
alpha_rarefaction_500_3.txt	500	3	305.25	107.0	109.25	101.111111111	121.0	74.0	74.2727272727	150.5	114.125	151.352941176	68.1428571429	57.125	102.428571429	79.3	65.25	109.0	99.625	73.25	162.666666667	112.0	43.1666666667	120.0	121.142857143	84.0	113.6	52.0	63.375	100.428571429	42.3333333333	93.5	102.0	303.0	183.333333333	74.0	95.0625	194.0	153.75	115.111111111	99.0	99.875	36.25	76.625	125.857142857	126.142857143	227.0	144.666666667	114.333333333	94.6	167.857142857	101.5	134.583333333	96.0	199.5	111.75	113.0	134.5	105.333333333	343.5	74.0	69.6666666667	101.545454545	70.3333333333	76.1428571429	80.0909090909	95.0	116.0	47.0	88.5	46.1666666667	53.0	194.166666667	85.0	85.5	103.75	146.4	76.5	92.6666666667	99.8571428571	160.25	130.2	73.1	95.75	57.4285714286	147.055555556	36.875	75.75	99.4285714286	112.0	124.25	131.3125	116.666666667	112.615384615	98.25	48.0	84.0	87.5	89.0	87.5	90.5	59.0	44.0	231.0	217.0	100.6	63.5	91.5	105.333333333	83.4285714286	80.0	119.461538462	74.25	121.111111111	124.0	71.5	107.75	88.5	147.0	132.428571429	94.1428571429	104.25	66.5	117.052631579	84.0769230769	127.8	107.111111111	183.0	70.6666666667	80.6	62.0	92.1666666667	136.0	125.666666667	101.5	130.461538462	53.4285714286	170.5	67.0	94.0714285714	131.866666667	65.125	142.0	101.2	55.0	161.571428571	48.75	83.5
alpha_rarefaction_500_4.txt	500	4	253.75	149.0	107.0	98.5	74.6666666667	55.8571428571	104.75	74.8666666667	179.0	169.875	61.6666666667	109.666666667	103.8	62.3636363636	33.4285714286	128.857142857	171.0	109.0	150.461538462	161.75	44.0	116.0	75.3333333333	102.2	113.333333333	85.5	81.0	86.0	41.0	101.428571429	116.0	167.75	68.875	80.1428571429	151.0	61.125	99.1	126.75	123.0	111.111111111	117.5	60.0	70.5	130.0	110.5	140.0	116.375	110.125	799.0	33.0	131.666666667	115.0	64.1428571429	131.0	71.0	58.0	117.125	84.6666666667	97.5454545455	61.0	100.0	103.333333333	69.875	115.0	105.2	86.5	75.5	105.0	106.5	91.6	143.363636364	119.0	100.111111111	113.769230769	123.583333333	234.0	139.4	137.25	146.909090909	90.1111111111	81.0	74.0	161.0	133.75	36.0	68.1111111111	121.2	138.5	73.25	106.1875	161.153846154	83.6	104.0	73.3333333333	65.8571428571	104.142857143	80.3333333333	63.0	73.0	119.0	121.5	126.6	143.25	106.111111111	45.5	124.666666667	224.5	44.0	131.5	164.142857143	91.1666666667	92.0833333333	85.5	46.0	73.5	68.25	225.857142857	180.0	90.0	107.5	63.6666666667	160.272727273	94.0833333333	99.2727272727	138.0	123.090909091	49.0	89.1	86.5	93.2	71.1428571429	116.666666667	106.428571429	174.571428571	42.0	121.111111111	71.6666666667	103.428571429	135.1	93.625	166.176470588	73.6666666667	58.0	139.0	104.0	64.5
alpha_rarefaction_500_5.txt	500	5	304.090909091	71.3333333333	118.666666667	72.3	86.5	78.0	89.25	88.5	112.0	120.75	77.0	58.5	246.0	120.111111111	101.25	78.1111111111	116.090909091	57.0	152.333333333	103.142857143	36.75	65.4285714286	131.5	73.6	174.2	159.75	85.1428571429	239.75	101.25	119.0	121.428571429	130.5	71.1428571429	82.1428571429	123.0	81.0	81.0909090909	149.125	124.1	169.428571429	113.0	122.0	90.8	102.0	115.0	124.0	121.461538462	71.6666666667	98.4285714286	79.0	129.0	53.0	139.0	87.625	96.0	216.5	180.0	95.8	69.0	133.0	97.875	56.0	138.0	80.0	110.0	68.0	201.0	145.5	55.5	117.0	115.6	100.2	93.8571428571	106.1875	150.75	134.333333333	179.090909091	118.111111111	169.666666667	81.1111111111	103.0	67.0	53.9285714286	114.666666667	52.0	243.0	187.0	177.166666667	46.6	142.75	219.111111111	90.5454545455	199.0	32.5	124.0	71.5	125.333333333	161.6	69.375	83.5	126.5	65.375	120.666666667	114.0	66.2	67.4285714286	64.2142857143	60.0	122.0	92.5	64.125	138.5	197.0	78.5	92.0	71.6	114.090909091	210.666666667	89.0	68.75	80.0	178.6	118.666666667	137.5	91.4285714286	71.2727272727	72.2	66.2727272727	73.1	124.2	65.8571428571	123.0	135.666666667	92.7727272727	61.0	124.666666667	125.25	134.857142857	129.352941176	82.0	140.3	156.5	113.0	142.583333333	45.5	55.0
alpha_rarefaction_500_6.txt	500	6	393.6	90.2	62.8571428571	112.111111111	95.6	103.0	74.375	90.1	143.0	126.866666667	70.6	129.6	134.5	108.333333333	80.0	101.111111111	153.0	85.4285714286	107.0	148.5	47.0	136.428571429	74.1	98.5	117.375	58.1111111111	89.5	97.625	71.5	109.0	110.75	134.5	94.0	75.1111111111	145.75	95.0	121.666666667	88.25	173.5	103.875	47.5	90.6	255.333333333	101.0	56.0	113.25	108.142857143	122.857142857	90.3636363636	73.2	107.545454545	57.0	67.6666666667	114.5	148.0	85.8571428571	129.0	125.142857143	75.0	118.0	106.111111111	70.1428571429	41.75	153.0	124.857142857	78.3	52.0	68.25	25.5	59.375	148.333333333	69.6	78.0	125.5	97.2	127.0	121.461538462	79.1111111111	119.5	75.3	94.0	78.75	240.25	201.75	52.0	85.5	123.2	115.545454545	84.0	164.615384615	173.6	109.142857143	115.25	85.0	102.142857143	84.1428571429	77.625	84.0	152.5	107.0	61.6666666667	95.0	149.0	90.1428571429	65.0	82.3	99.75	82.5	111.111111111	142.0	73.25	94.3636363636	54.3333333333	71.5	113.0	139.75	123.3125	115.6	81.0	101.2	83.5	134.272727273	99.8333333333	108.363636364	78.4615384615	234.0	81.4285714286	69.4285714286	69.25	148.5	91.625	177.0	101.857142857	188.857142857	52.0	114.6	82.75	115.0	180.0	73.6666666667	112.333333333	71.25	59.5	122.1875	84.0	85.5
alpha_rarefaction_500_7.txt	500	7	507.75	59.75	195.0	88.0	97.0	71.0	90.5454545455	81.1111111111	69.4285714286	93.6470588235	230.0	75.6666666667	122.125	204.6	77.1428571429	300.0	195.0	75.0	114.75	69.0909090909	48.0	103.428571429	100.0	90.4285714286	135.0	65.375	79.25	114.5	55.0	88.0	97.875	66.5454545455	63.0	95.875	135.428571429	59.125	103.461538462	147.2	111.5	151.0	58.2	129.5	94.6	70.0	93.0	143.0	130.428571429	181.333333333	100.142857143	68.6666666667	151.1	79.5	105.0	126.333333333	79.5	92.5	129.857142857	82.6	89.1	120.6	68.0909090909	86.0	119.5	133.5	170.25	84.5	88.0	78.3333333333	36.25	113.5	146.375	143.5	96.5	145.142857143	171.25	98.0	129.214285714	68.125	140.333333333	132.25	99.1	191.0	90.5	163.111111111	65.0	76.3333333333	85.5	173.090909091	43.1111111111	142.714285714	104.05	133.583333333	93.0833333333	33.8571428571	76.875	100.0	73.875	138.666666667	80.0	101.166666667	53.0	85.3333333333	135.666666667	133.6	53.0	92.4285714286	131.909090909	89.2	78.0	119.111111111	63.0	145.75	94.0	201.0	71.0	102.75	102.071428571	135.0	105.0	82.0	84.75	126.05	113.272727273	96.0	81.3	166.111111111	61.4285714286	92.0	73.1428571429	72.75	80.25	95.875	109.6	120.4	48.5	133.857142857	126.333333333	100.833333333	116.428571429	84.0833333333	138.583333333	88.2	61.2	159.333333333	45.5	67.1428571429
alpha_rarefaction_500_8.txt	500	8	265.333333333	67.0	80.25	81.0	111.0	100.0	97.6	90.0	78.6	155.75	111.125	69.8571428571	100.875	106.090909091	82.4285714286	75.3	133.0	60.25	108.4	82.0	41.3333333333	78.1	92.625	81.0	117.111111111	82.0	72.6	117.142857143	29.0	106.090909091	136.2	162.75	52.3333333333	61.3636363636	137.125	66.2	99.2	139.5	110.153846154	124.142857143	84.2	117.333333333	108.0	75.5	84.5	85.0	145.666666667	122.5	101.5	152.5	115.090909091	68.0	81.2	112.666666667	120.0	108.0	91.5	90.9090909091	57.3333333333	82.1666666667	126.2	104.333333333	101.166666667	93.1666666667	75.6666666667	105.0	35.0	55.8571428571	48.0	69.25	138.857142857	159.75	96.875	99.7692307692	106.214285714	113.375	203.6	95.8571428571	138.333333333	68.1111111111	80.4615384615	130.0	69.6666666667	195.0	41.2	54.0	76.6666666667	130.0	79.1428571429	121.0	165.615384615	84.25	120.75	54.0	66.125	94.6	48.1	88.5	71.375	59.125	64.75	89.4285714286	122.333333333	116.375	64.0	80.1428571429	90.0	64.0	125.857142857	173.0	158.333333333	93.3636363636	45.5	42.5	86.0	109.5	117.375	114.0	83.6666666667	72.0	59.0	132.272727273	149.0	113.0	103.545454545	94.1111111111	47.375	158.142857143	91.625	89.4285714286	197.0	163.6	91.0769230769	116.0	68.6666666667	100.0	92.6	144.0	152.909090909	92.1666666667	147.125	59.5454545455	64.2	104.916666667	57.3333333333	192.0
alpha_rarefaction_500_9.txt	500	9	279.1	42.4285714286	84.3333333333	79.5	126.25	81.1666666667	149.111111111	136.5	84.3333333333	99.0714285714	109.0	81.0	126.333333333	101.545454545	96.1666666667	57.3333333333	202.0	90.6	111.058823529	113.25	39.5	90.1428571429	77.6666666667	94.2	109.111111111	95.0	128.333333333	136.125	35.4285714286	152.0	128.0	93.1111111111	80.1428571429	142.5	102.857142857	95.5	114.157894737	115.75	130.5	84.25	63.5	171.0	121.0	59.6	112.0	75.75	119.8	145.0	93.9090909091	100.75	110.545454545	139.0	70.2	102.428571429	87.4285714286	138.0	98.4285714286	75.4615384615	98.0	124.5	119.0	82.0	59.0	96.1	133.428571429	99.4285714286	36.25	71.0	71.2	77.25	147.428571429	46.1428571429	120.666666667	126.0	135.5	124.2	149.0	109.090909091	100.545454545	92.8571428571	124.0	162.0	86.0	193.0	48.2	47.5	85.5	162.769230769	53.0	139.0	126.0	95.5	160.0	45.5	135.2	80.0	91.8571428571	128.857142857	92.1666666667	83.1666666667	64.8571428571	122.428571429	123.0	115.5	58.8571428571	112.166666667	82.3125	73.2	94.6	112.666666667	49.0	87.0	38.0	69.0	118.0	134.2	155.875	119.375	96.5	93.8571428571	85.0	170.0	114.6	132.3125	118.111111111	103.25	65.1	84.625	69.75	99.0	95.6	197.0	117.75	102.230769231	99.0	148.230769231	62.6666666667	92.0	125.9375	115.0	128.052631579	71.25	34.5	188.0	40.75	93.5
