	California.HC21	Sweden.IBD.060A	Sweden.HC.7	AHD.89	Nor.C2	Nor.C10	AHD.14	Finland.HC.13	Sweden.IBD.098A	Leda.A61	France.DC10	Finland.HC.11	Sweden.HC.12	AHD.31	Leda.A1	Leda.C9	Mel.TX.HC9	France.DC7	RVC20	Mel.TX.HC13	Leda.C73	RVC08	Nor.C3	California.HC18	California.HC28	Mel.TX.HC16	Leda.C33	RVC.17	Leda.C1	Sweden.HC.23	RVC06	Sweden.IBD.066A	Leda.C41	Finland.HC.10	Sweden.HC.4	Sweden.HC.11	Nor.C6	Sweden.HC.3	California.HC27	Finland.HC.20	California.HC17	AHD.23	Leda.A73	AHD.13	AHD.30	Mel.TX.HC7	France.DC12	California.HC12	Sweden.HC.17	RVC19	Nor.C4	France.DC2	RVC05	Finland.HC.4	RVC12	Leda.A5	Sweden.HC.13	RVC01	Leda.C49	Leda.A21	California.HC8	Leda.A29	Leda.C81	Sweden.IBD.102A	RVC07	France.DC15	France.DC11	France.DC5	Leda.C37	AHD.73	Nor.C12	AHD.16	RVC10	Nor.C9	Nor.C7	France.DC1	Leda.A53	AHD.17	AHD.43	Sweden.HC.2	Sweden.IBD.065A	California.HC22	France.DC17	Leda.C87	Leda.C85	Nor.C16	AHD.83	RVC15	AHD.22	RVC03	Leda.A33	France.DC4	Nor.C17	Leda.C25	Nor.C8	Leda.A37	Leda.C21	Leda.C82	AHD.12	AHD.18	France.DC16	Finland.HC.6	Mel.TX.HC3	Mel.TX.HC10	Sweden.HC.21	Sweden.IBD.101A	Mel.TX.HC8	France.DC13	AHD.19	Sweden.HC.19	RVC14	AHD.82	Sweden.IBD.100A	AHD.15	Nor.C14	Leda.A25	California.HC24	Finland.HC.15	California.HC7	Finland.HC.3	France.DC9	France.DC8	Sweden.IBD.099A	AHD.11	France.DC6	Mel.TX.HC17	AHD.74	Leda.C17	AHD.51	AHD.71	California.HC14	Sweden.HC.9	Nor.C1	Sweden.IBD.062A	AHD.88	AHD.61	Mel.TX.HC11	Mel.TX.HC15	Sweden.HC.1	Finland.HC.14	AHD.21	Sweden.HC.6	Leda.C13	California.HC20	Mel.TX.HC6	Sweden.HC.16	AHD.94	Sweden.IBD.061A	Mel.TX.HC2	AHD.35	Sweden.IBD.067A	California.HC13	Finland.HC.12	California.HC25	Finland.HC.19	California.HC1	Finland.HC.21	Leda.A13	Leda.C53	Sweden.IBD.064A	AHD.37	Mel.TX.HC4
California.HC21	0.0	0.563903267219	0.598121967639	0.530173107587	0.418256853529	0.489417970619	0.566794985572	0.502927888681	0.620569095896	0.519607325495	0.659587545392	0.451886664049	0.529093500477	0.558754302077	0.545580641309	0.468851516832	0.554663166522	0.609255907551	0.401935535312	0.643507606471	0.492252860585	0.643116899179	0.594826635475	0.606785148116	0.589342628878	0.551669638175	0.526680662686	0.371111770962	0.337870751441	0.510393109177	0.4417786479	0.479495605218	0.448788414734	0.38186126219	0.570726496327	0.556436614509	0.393997759422	0.618937383438	0.575311793403	0.644180703002	0.493592723279	0.484133091943	0.398237826676	0.48252750133	0.469472662155	0.531009303569	0.484082811786	0.391908075029	0.449064907011	0.250278501675	0.669130914554	0.516361841029	0.496104921723	0.489821179515	0.6045657076	0.261988973907	0.528945789284	0.647266033496	0.262089984292	0.455420451179	0.411327745537	0.443194352243	0.480558787708	0.559739550688	0.387506802291	0.584025636821	0.636389788327	0.567935888304	0.50920420004	0.589081121514	0.31912480474	0.59461771866	0.540873716151	0.520270979806	0.515849195026	0.508740501661	0.55064314756	0.561829220821	0.57841680833	0.58051426533	0.358492978081	0.541721688192	0.609257291447	0.46336120166	0.508189198548	0.621149728763	0.576686961099	0.567338423255	0.650101645922	0.577732652102	0.591602625923	0.597871258438	0.593802922553	0.503360589742	0.653791617987	0.487819846297	0.563363622458	0.536024899134	0.626331483523	0.510473393806	0.633465243919	0.47677774476	0.556020650681	0.649155516595	0.548975827962	0.626420285225	0.582741553564	0.636780205313	0.608760237258	0.613815871078	0.542646090726	0.540121178514	0.463475137714	0.598884072168	0.65433752079	0.635869256527	0.500635825566	0.502732885255	0.636563394057	0.612260711932	0.685965212939	0.674922786387	0.593509036701	0.577840483162	0.56596604189	0.582977453628	0.585232717846	0.645280196385	0.559359694478	0.575623155453	0.612236573524	0.616773616764	0.602203461756	0.501271116045	0.622220632257	0.608273006403	0.59206564592	0.62655839251	0.596767718106	0.619213783542	0.621319097938	0.459281711571	0.487664624709	0.459352824563	0.5892734175	0.509445479593	0.561819661234	0.51618306925	0.585518668697	0.587344386742	0.576235861169	0.615589073213	0.589908268047	0.371116497797	0.615232308302	0.542422384366	0.440248903366	0.659589720362	0.585944996031	0.667118344631	0.521989091023	0.644510225738
Sweden.IBD.060A	0.563903267219	0.0	0.428486551412	0.45174542136	0.298832415889	0.615412421635	0.583025176761	0.404453117315	0.592795546623	0.420918575198	0.36174625586	0.400428295203	0.430081397498	0.398589312425	0.374153297442	0.283118941101	0.36020483524	0.602012179979	0.623102237569	0.514963625294	0.472331238496	0.194731371014	0.245367634619	0.294692425095	0.397773258059	0.40287616386	0.330750772769	0.517748996352	0.475810741522	0.183641401323	0.350941845091	0.432875362697	0.373388682083	0.398946367293	0.368285872048	0.374594429521	0.406420510607	0.417831416738	0.369899066546	0.482834796422	0.369640093104	0.560625938916	0.372694413789	0.365882490712	0.624846607952	0.295253560051	0.607104127311	0.356649557831	0.423880512902	0.447751700579	0.350340283279	0.575098666008	0.249725234375	0.386246307554	0.358447227541	0.565079992432	0.4270446369	0.464185965098	0.534319456754	0.462862223673	0.229440758359	0.512356986064	0.324112431026	0.528973239973	0.39792038574	0.383362139721	0.562738718642	0.290366161577	0.21556643612	0.348534391419	0.357893331422	0.30133287764	0.614265171264	0.255127346223	0.615214939319	0.469903897492	0.264392292911	0.37444887134	0.401669632212	0.454997555905	0.488601603737	0.403683864941	0.456073842033	0.236157175887	0.385376183325	0.279017701604	0.41577585228	0.383295704653	0.395649532193	0.351383584326	0.302333843723	0.609813864094	0.362857840424	0.458502910814	0.580942964309	0.251697567189	0.369584392905	0.370673211329	0.521118873242	0.459173078526	0.50405415999	0.374851267475	0.469932744543	0.260668422755	0.342350318907	0.469833208599	0.48000339999	0.551810838863	0.490091548477	0.246466413098	0.338157320325	0.380095230011	0.492681042962	0.509299501175	0.349174779642	0.367259335361	0.29134045025	0.408060419071	0.426893280774	0.354121399484	0.394399687414	0.409022649501	0.384666137278	0.520424131822	0.371304911609	0.398305332873	0.40455723225	0.471100079667	0.443592181385	0.406036819926	0.379567994883	0.344107316195	0.444547159836	0.345094754942	0.412579139061	0.440289085587	0.369576465355	0.417500712998	0.397097843317	0.180832042521	0.45676196937	0.376426690736	0.359137175758	0.398461239411	0.376427456157	0.48524298626	0.42831663811	0.184888500447	0.428174103809	0.409504916275	0.186789928346	0.393538709996	0.35773631071	0.415775077992	0.420072334504	0.318993211792	0.537824692737	0.219263942157	0.597183089479	0.540267827638	0.382104104548	0.400386194108
Sweden.HC.7	0.598121967639	0.428486551412	0.0	0.334508624333	0.573852542536	0.679133420418	0.531664759159	0.278799355031	0.566630135694	0.269350810806	0.243288084361	0.257150139977	0.125956607542	0.277468535313	0.652971390004	0.541300942542	0.224525950959	0.653850621369	0.690114891388	0.200553924548	0.483677921575	0.397578202938	0.435098251023	0.335691823497	0.261385334785	0.234453710399	0.239675815662	0.597534277776	0.492463534013	0.353058781924	0.311796625187	0.506247296587	0.289192406933	0.284295494381	0.254407389655	0.204141969347	0.330852332239	0.238946931989	0.202971344227	0.277043350476	0.177628909886	0.635969454094	0.376378096118	0.320490364179	0.68504571688	0.333706931062	0.631410949596	0.548317528144	0.16329210811	0.417589942792	0.689221258265	0.604851386579	0.491748776229	0.208867739756	0.675823815443	0.61333501046	0.126680483311	0.677275201723	0.539144844626	0.582583347278	0.502264812941	0.530677211039	0.508460772175	0.560513191568	0.339400791708	0.419753510038	0.608727291529	0.662310047106	0.358159908978	0.231124061857	0.330817962854	0.600048280558	0.671586871814	0.605121684409	0.646876757633	0.553318148593	0.419587265821	0.12958317864	0.280449161068	0.174377283599	0.539379260157	0.341049547423	0.350654852187	0.335685626982	0.330299351241	0.561736248138	0.168673572701	0.650547182451	0.340413719053	0.446840760388	0.629929252103	0.597258428246	0.370241687826	0.28422993742	0.68839622421	0.572616409545	0.235238858002	0.269645935256	0.364514718608	0.36693103425	0.650071907955	0.284104395539	0.159447746629	0.288912828076	0.171818831072	0.446389031727	0.304290600595	0.638974641634	0.446140502294	0.181901714677	0.274202587814	0.228271862186	0.43617503776	0.444876413907	0.435321782462	0.302949044493	0.242767715516	0.097394699914	0.142334343068	0.247362157798	0.672655540156	0.665194208374	0.588450400683	0.467724444881	0.318711517143	0.145988357962	0.185632359266	0.318623145308	0.300195012131	0.247583759812	0.11817214272	0.07592794019	0.257046710697	0.213473150538	0.184267084239	0.15160230677	0.24319017762	0.304230247804	0.160853490852	0.360788132843	0.323157557166	0.0990808987878	0.206865099055	0.284222582435	0.243711001161	0.340065301583	0.195048654471	0.342681706411	0.209742008384	0.104755623994	0.387318553314	0.124419511389	0.203214329512	0.323797227091	0.216446394679	0.259459995282	0.344565623453	0.264659110446	0.407033426592	0.34025093344	0.140066913996	0.154474269451
AHD.89	0.530173107587	0.45174542136	0.334508624333	0.0	0.521773620412	0.52196763051	0.37822609586	0.222083564724	0.531036030789	0.27235819755	0.301920727222	0.190018126263	0.390656971203	0.323748793036	0.548500148125	0.542427013683	0.286263729817	0.581637509029	0.602381671546	0.431457819807	0.488457687585	0.42389236369	0.473269560728	0.417295581141	0.287129318586	0.373525259381	0.325420930263	0.463018422085	0.46735542605	0.411318600728	0.235505108434	0.379041680767	0.33911795813	0.308200550875	0.301082898057	0.273486751364	0.31035632679	0.335783541147	0.353499455743	0.330779397707	0.328115501941	0.601246718044	0.419627769474	0.253264632842	0.633279383663	0.388924377377	0.492514328211	0.504791524141	0.293444298558	0.432503436999	0.642339100043	0.440331325843	0.376468556871	0.263902466996	0.654131701353	0.550113603487	0.381953555745	0.660686522992	0.571399478552	0.57986176542	0.464387662314	0.503209713693	0.458277649404	0.365206244622	0.342680311693	0.475633188485	0.569274872678	0.623986617468	0.347528892675	0.336195669615	0.296999753646	0.502412113428	0.616509904999	0.550029678866	0.433473365525	0.550041853779	0.567319326753	0.320816829751	0.354193311009	0.383083543059	0.471683449517	0.359679188726	0.206818500129	0.198113752989	0.296564164599	0.479238025542	0.205301609221	0.499282713645	0.359949609578	0.390361338849	0.587348113324	0.562911522342	0.420282245829	0.343725975874	0.64488703516	0.565400487319	0.297989134684	0.341590209512	0.284728513516	0.258467123911	0.64721002848	0.284198190622	0.304145293706	0.372699026819	0.308317471426	0.401008825506	0.257767493331	0.576701189038	0.249404215078	0.343752629259	0.319249659142	0.241562346979	0.439537392559	0.327775089892	0.489375714933	0.331155115707	0.335755156912	0.267674496791	0.36912768661	0.275229195866	0.635657605007	0.634730486269	0.415346069892	0.175878284745	0.308915479922	0.30921381645	0.321726572902	0.417012890595	0.32100633701	0.250595178574	0.37843332423	0.324658112582	0.380775808139	0.327632317563	0.271632755522	0.264069969572	0.327070566478	0.389730323843	0.283134126028	0.437133035316	0.307780812823	0.318675176478	0.298668460683	0.285115856349	0.345517732903	0.464389535719	0.286111155363	0.405156742361	0.312695500585	0.360780144056	0.442897636369	0.37061903395	0.281819411406	0.327146379256	0.2706404358	0.306848015128	0.331295660433	0.440588168092	0.516298189453	0.634749899842	0.344312831849	0.358770699896
Nor.C2	0.418256853529	0.298832415889	0.573852542536	0.521773620412	0.0	0.56385648544	0.54372262497	0.505973977876	0.579963840936	0.555553337194	0.572644091579	0.462607852907	0.529971935097	0.567025467557	0.372813198064	0.359591088557	0.533851506652	0.551499688104	0.612099324948	0.600237823039	0.50156402682	0.323895773926	0.337828970347	0.434047678252	0.531710927337	0.537179598972	0.476007072784	0.444978802429	0.407311268838	0.228310141308	0.412987886193	0.511650201669	0.489127900421	0.421964587352	0.525523637246	0.551674438602	0.442334688084	0.60014829294	0.465161605391	0.603104882874	0.482310262031	0.543671377814	0.320696903189	0.498293666432	0.596778387677	0.527900940314	0.542246211731	0.31957319907	0.521324347806	0.420251606212	0.302463116181	0.564693346327	0.279574598855	0.517601705957	0.320733943246	0.4390647791	0.533460650579	0.441427870475	0.38704146055	0.543323886614	0.158645788677	0.448692170753	0.247700594122	0.606895191081	0.480495402207	0.326759926784	0.485463803155	0.199353817146	0.280653116218	0.582894595676	0.344131840011	0.303982567523	0.591565682822	0.172248573125	0.499619097501	0.381927117236	0.233243589009	0.52481772872	0.586245204816	0.582476493147	0.52412692867	0.570843431369	0.57342313399	0.310638115968	0.49119366492	0.34789319646	0.557658180477	0.326094372574	0.581001952197	0.444236030748	0.231203293285	0.483574040472	0.498147683872	0.527775137167	0.560127115059	0.190244360239	0.526886606418	0.509049929425	0.61342611055	0.540150289559	0.482770431302	0.484319125122	0.603693051381	0.449694746485	0.527739798641	0.53079276725	0.593004940039	0.599274154081	0.563673708191	0.39120522607	0.509391185447	0.516443168662	0.499312590229	0.574010167551	0.459345255348	0.441983280034	0.425359736244	0.521034179889	0.580031707716	0.567714132086	0.394214239076	0.366220962825	0.334183077636	0.554396966465	0.515517375692	0.534664429078	0.54198901917	0.629807789262	0.589259000722	0.548643372464	0.545376737388	0.501649251766	0.580090714451	0.447947861809	0.596293351013	0.595580333709	0.535220657085	0.564146258392	0.566730043833	0.296406057477	0.613034245988	0.484659061103	0.554879459926	0.438792398918	0.516664856471	0.476634167551	0.557968690291	0.239712153414	0.546241186031	0.572516485161	0.275885140391	0.585884156487	0.511733366545	0.530253923072	0.585530566873	0.55795616175	0.479525852221	0.34853213049	0.595631717528	0.646470101911	0.544664849472	0.606772860865
Nor.C10	0.489417970619	0.615412421635	0.679133420418	0.52196763051	0.56385648544	0.0	0.658770510794	0.657643926759	0.409588946479	0.509316647664	0.673426332552	0.649903144333	0.630664446782	0.648179600961	0.648782072679	0.598991919919	0.629227945251	0.28474031145	0.209485850739	0.680652326681	0.665974655336	0.671920547445	0.667404967457	0.672237840811	0.669645688999	0.678605640762	0.676449878877	0.378761389503	0.63962271957	0.678751169043	0.539722304882	0.63180902123	0.503472030072	0.676637386408	0.674811738864	0.661203435675	0.665038073652	0.672431871446	0.683749883881	0.682505982085	0.661835306459	0.49023615296	0.505298902671	0.47529669162	0.176143438967	0.571456658045	0.12870249777	0.446167264208	0.582111463443	0.439558465906	0.524829508319	0.397844008959	0.431996944291	0.617763980865	0.549649831703	0.471203550263	0.629837613748	0.626155779093	0.508188366332	0.268988640219	0.522245736793	0.345303975668	0.606858226237	0.566691267495	0.362388493557	0.564978189697	0.337933193688	0.50331363076	0.534778370374	0.647280445895	0.589959829785	0.529106000805	0.27967160808	0.596071711154	0.350187464552	0.54840317365	0.641871319779	0.622549762949	0.670102243953	0.623956206833	0.560781989162	0.610018333808	0.549742097637	0.556872095399	0.626392614528	0.571173099456	0.669166178177	0.482613811676	0.365083297215	0.598316649118	0.636251165348	0.40073056429	0.6609229516	0.657009061705	0.510483299247	0.648752751698	0.663507418762	0.616132783566	0.642223021137	0.592220706645	0.647586224959	0.652740373797	0.661630588589	0.658130459401	0.639473663974	0.318929906366	0.567928222039	0.588136498558	0.556456859856	0.673297636494	0.671427514597	0.677575465353	0.515322024184	0.569303899678	0.673861954172	0.582872845162	0.674241254645	0.667097829632	0.679440962565	0.568412091686	0.365077906844	0.452058571818	0.350308297868	0.44600008322	0.433483426171	0.67439428625	0.63961164575	0.678604644757	0.646508924221	0.677997632627	0.672779597712	0.678991640876	0.674924551903	0.674514533699	0.680446915301	0.679833260797	0.675207389446	0.678525499745	0.674732435639	0.680965519863	0.673222807909	0.662896402325	0.644120110748	0.675606889325	0.670932664839	0.685286601152	0.669239661553	0.676328426783	0.673094670036	0.676992926616	0.674021046088	0.680461768965	0.651340817849	0.647892368623	0.673138235582	0.662704491775	0.673428421802	0.679097234008	0.674990836672	0.66818332696	0.658200083764	0.679909761275
AHD.14	0.566794985572	0.583025176761	0.531664759159	0.37822609586	0.54372262497	0.658770510794	0.0	0.446840951685	0.633546541328	0.46090311905	0.539665644584	0.415507132919	0.56193908774	0.596035712188	0.654145818768	0.566328965395	0.558011466788	0.63686588072	0.675816126657	0.542148252484	0.489484175028	0.601276346698	0.601291359336	0.522844627303	0.43363173698	0.561207475714	0.5076961252	0.498349399063	0.522962656461	0.571242081543	0.521837907165	0.591525211061	0.525495859004	0.514710454439	0.547448006035	0.47825650772	0.540101936058	0.578753155168	0.42716273648	0.430660005616	0.501598002903	0.617793300378	0.578092591563	0.557748161228	0.658145427021	0.574092375557	0.543819956936	0.569892449275	0.50549092026	0.532742391169	0.674674312366	0.601211971512	0.613764082421	0.529167599816	0.671173585368	0.553870967201	0.563492772384	0.669870278955	0.527231692544	0.589472502532	0.578900522297	0.584339837223	0.543099151387	0.641666703089	0.573033353056	0.591225837318	0.665132274748	0.638048279327	0.54984047629	0.570658240899	0.526850242296	0.595196606302	0.651304859725	0.599560010293	0.53409495136	0.577926520043	0.589314171215	0.576919126791	0.583214635651	0.536589812647	0.566230464661	0.623124643509	0.441041374373	0.410118306416	0.406395636881	0.615684252707	0.383037129881	0.576004616811	0.611835850874	0.609523388093	0.631596393837	0.638601643549	0.577808995131	0.523287633123	0.678115225913	0.575351337979	0.443611407154	0.597958695011	0.38999917896	0.517815805173	0.662515424587	0.550688207695	0.500984597489	0.612242570961	0.558789151526	0.61681427635	0.596239625938	0.627193548103	0.577402925101	0.590286933466	0.551231855062	0.461227143877	0.607363928808	0.592612647489	0.635551891194	0.598437817831	0.572887124651	0.466155372985	0.59135178498	0.560179697475	0.671101564326	0.663690846323	0.608605313781	0.425350876599	0.579010271717	0.568757595177	0.569883352821	0.616167528848	0.584511645979	0.448312553424	0.587943471805	0.535808979497	0.572232705249	0.544665608522	0.46154080096	0.459776591981	0.574241983857	0.587875453168	0.504016622494	0.596519467838	0.425636927742	0.54955541631	0.600015060106	0.378575654725	0.549490445621	0.478477093284	0.455599239105	0.573260786117	0.472600682316	0.540361861183	0.590715182107	0.529640517666	0.473054953275	0.58870244638	0.467937320122	0.585800736079	0.3352719765	0.622785371229	0.566859383194	0.650853328665	0.585435602962	0.617472423266
Finland.HC.13	0.502927888681	0.404453117315	0.278799355031	0.222083564724	0.505973977876	0.657643926759	0.446840951685	0.0	0.582213163326	0.308290974869	0.239608341216	0.161344642693	0.331429872506	0.282918225921	0.4931491289	0.508177846611	0.262461697408	0.592000248578	0.66543934826	0.436076782708	0.446938249632	0.364665656079	0.439985553413	0.345318346669	0.208815154924	0.301303985156	0.19783727258	0.483748024263	0.400256993491	0.307869689215	0.262046639008	0.423203849862	0.295677675284	0.19828958574	0.201561920766	0.240044512268	0.252560302287	0.338024834192	0.288038900507	0.337834846854	0.239611768477	0.605831456769	0.34559644485	0.276856307147	0.683020667782	0.324000769716	0.613189263784	0.488046101334	0.247884452112	0.369806634325	0.687178460713	0.611711516684	0.469819412773	0.230784762122	0.674503928747	0.455722171517	0.322871337639	0.677083111423	0.433711623791	0.592759230083	0.421777575622	0.530706479164	0.443218037337	0.410567483587	0.303025627604	0.528243772484	0.619914903602	0.64012517983	0.317161335552	0.24046915366	0.210344757466	0.574400352764	0.647649724267	0.567670942881	0.611263369176	0.559713230034	0.524421570348	0.264738780462	0.303813678629	0.367892356919	0.475551142023	0.323288460241	0.339009809752	0.207016543391	0.273145002365	0.571097853314	0.194518175453	0.581178975506	0.369354954201	0.426658602221	0.607710214548	0.583792563904	0.377901054532	0.300358221946	0.687314493507	0.531056935912	0.248713059718	0.333055303478	0.367370506191	0.230199268723	0.649778021432	0.246090312425	0.322157658107	0.335524335779	0.260627574073	0.442697030414	0.424176244817	0.623276461233	0.410407888184	0.309330152943	0.244556418203	0.185287308563	0.414052801861	0.469882273925	0.456051954333	0.411083117411	0.239191847941	0.213591718424	0.323479329373	0.261971406506	0.680565946578	0.672496674849	0.492601884305	0.393140034225	0.285624166212	0.225002562849	0.324304199622	0.383417575725	0.299475905725	0.215572189755	0.315734810067	0.263311281712	0.343098336077	0.202547476306	0.260879060617	0.264432143005	0.218377721206	0.328930337595	0.234870286708	0.38637553334	0.301474509505	0.244150600968	0.254198894817	0.150178751926	0.25056289905	0.422068885592	0.2509111508	0.302154351199	0.292125360295	0.290814002462	0.364295378025	0.319000060202	0.245016222274	0.247427987583	0.256906239084	0.262336969405	0.309220202613	0.375053887451	0.529478731188	0.637206501055	0.281893806784	0.280270414668
Sweden.IBD.098A	0.620569095896	0.592795546623	0.566630135694	0.531036030789	0.579963840936	0.409588946479	0.633546541328	0.582213163326	0.0	0.56587220954	0.563875428044	0.55396802816	0.592146248984	0.449310555266	0.63742174233	0.509998471153	0.455441575592	0.373013630346	0.471001403745	0.586244745881	0.549378850563	0.664213992624	0.595741794829	0.534690731267	0.560545484174	0.493663991157	0.576802537884	0.635860565932	0.518292116137	0.634640009671	0.549477003884	0.559541410502	0.520585531284	0.553303417901	0.511810945116	0.595361993583	0.568747017788	0.492921580342	0.529060233737	0.611453627325	0.54316915291	0.661829476285	0.61250777428	0.584229342184	0.519219115444	0.595657604362	0.431054388757	0.509892818667	0.587066477726	0.633470139263	0.574071302654	0.624053136028	0.599865148595	0.511189531595	0.644834323345	0.573738263427	0.594965886641	0.677974602671	0.654881996835	0.408921499661	0.597612093556	0.349391534395	0.503582374842	0.510665311818	0.479767977035	0.588971073464	0.406351131163	0.613486017556	0.483646592036	0.563011301644	0.571333242345	0.675450253309	0.504565370868	0.647030809994	0.503577089568	0.580707502432	0.575411077546	0.538742188098	0.499313540767	0.529674244352	0.526395972521	0.40799858617	0.569855590985	0.577449987667	0.536591572237	0.520142145557	0.559588770425	0.606700672111	0.389994430361	0.586525533354	0.638741683314	0.441274957748	0.567088486877	0.524400867382	0.564208730344	0.582488720505	0.554376523839	0.551235752317	0.611536803317	0.532507790876	0.654944978979	0.562877595302	0.607299257066	0.523797247855	0.562795902835	0.186995591112	0.571465958731	0.48208825957	0.62772493506	0.547672171804	0.569039159968	0.506317228647	0.335787017966	0.471487267892	0.650620129016	0.59503744565	0.500021212338	0.518483293308	0.519154328929	0.476362957275	0.429911166182	0.465050568432	0.377936810962	0.543188665012	0.418772953119	0.567445249058	0.530279143092	0.445601442532	0.46104018181	0.56730713957	0.52558459438	0.573185332467	0.552816672278	0.548197792946	0.484837068304	0.536505335775	0.543004580599	0.541087235642	0.574029298583	0.594253681745	0.572508010591	0.539116068498	0.481344582508	0.590201347275	0.563200372334	0.570160437643	0.494795229938	0.630728097417	0.574202900811	0.573097688941	0.557166403081	0.54992015293	0.559159763699	0.513625714369	0.563109494382	0.54124641593	0.604507593006	0.566149290126	0.526469249102	0.636544412679	0.484052764241	0.598224773723
Leda.A61	0.519607325495	0.420918575198	0.269350810806	0.27235819755	0.555553337194	0.509316647664	0.46090311905	0.308290974869	0.56587220954	0.0	0.2618520246	0.238890675081	0.305475301056	0.309669316796	0.639637139287	0.579955534432	0.252326981687	0.641882149238	0.550649874707	0.332005057152	0.509113533111	0.42880619758	0.445409905823	0.377558229691	0.298779358357	0.292758981217	0.31463243149	0.442570828761	0.533200442426	0.426810422422	0.291543251505	0.484877721017	0.242243729594	0.339854646012	0.278959311603	0.238372795602	0.401853997232	0.212534404936	0.248001710754	0.257543645127	0.253485240062	0.481060323171	0.310328579424	0.257940727504	0.468708261103	0.292510620342	0.418808298706	0.449990343994	0.260538223896	0.334173158162	0.667193924847	0.409895377379	0.379114085344	0.203629085497	0.595800406624	0.576836352989	0.301210195617	0.633945858409	0.497074548971	0.46486339101	0.448943378767	0.490560056593	0.468917688868	0.521781647947	0.294055150561	0.533646228144	0.578040339656	0.580924000105	0.362288932732	0.269292564226	0.370223806318	0.515122174924	0.554156855827	0.547340400087	0.614250908331	0.461611889319	0.530142422577	0.269706045401	0.241051895144	0.216660010239	0.462794286947	0.310069089698	0.244679849873	0.282142508402	0.280234653877	0.533845022177	0.20127328612	0.620735080916	0.355002265395	0.413572428517	0.622887149052	0.567026276602	0.319259214581	0.302143137453	0.654371712999	0.573397763569	0.200573607688	0.344987637118	0.281475414093	0.361023250104	0.629291161381	0.310986562835	0.315396173538	0.299001106211	0.2936109465	0.420783719443	0.369524238724	0.556186224751	0.428660455164	0.298392258948	0.270600826684	0.253062187034	0.465906865506	0.388415985488	0.468520195342	0.404819047856	0.290933547725	0.230065367582	0.257914620564	0.212091664226	0.658341644529	0.659623577837	0.595132560262	0.418824854796	0.351795316573	0.293761301752	0.232664331077	0.306504635236	0.266621752964	0.240513665394	0.278759267096	0.273149050716	0.30012963868	0.307442915442	0.206128908323	0.197916347826	0.260723207677	0.308301254901	0.200284023987	0.397818361988	0.261431588468	0.320343285186	0.342711802741	0.329148578632	0.288741902844	0.35398290319	0.203754709502	0.419004083916	0.252675835077	0.268018111144	0.44162033121	0.254507697547	0.193453077438	0.380843465502	0.169876361542	0.304470959871	0.393928603013	0.392999193937	0.362517631594	0.581008669882	0.305388801845	0.295824338301
