	Sweden.IBD.101A	France.DC8	France.DC9	France.DC4	France.DC5	Nor.C16	France.DC7	Nor.C10	France.DC1	France.DC2	Finland.HC.19	Finland.HC.15	Finland.HC.14	Finland.HC.13	Finland.HC.12	Finland.HC.11	Finland.HC.10	California.HC1	RVC20	California.HC8	Nor.C14	Finland.HC.3	Leda.C25	Finland.HC.6	Leda.C21	Finland.HC.4	Nor.C17	AHD.83	AHD.82	Leda.C13	Leda.C85	Leda.C87	Leda.C81	Leda.A73	AHD.89	Leda.C82	Leda.C41	Nor.C12	California.HC12	Leda.A37	California.HC22	Leda.A33	Sweden.IBD.065A	California.HC21	California.HC27	California.HC24	California.HC25	California.HC28	California.HC14	Leda.A61	Leda.C73	Sweden.IBD.067A	Nor.C8	Nor.C9	Nor.C6	Nor.C7	Nor.C4	AHD.71	Nor.C2	Nor.C3	AHD.74	Nor.C1	Leda.C17	Leda.A13	California.HC7	Leda.C9	France.DC6	AHD.61	Leda.C1	Mel.TX.HC3	Mel.TX.HC2	Mel.TX.HC4	Mel.TX.HC7	Mel.TX.HC6	Mel.TX.HC9	Mel.TX.HC8	Leda.C53	Sweden.HC.23	Sweden.HC.21	Sweden.IBD.098A	AHD.51	Sweden.IBD.064A	Sweden.IBD.060A	Sweden.HC.16	Sweden.HC.17	Sweden.HC.12	Sweden.HC.13	Sweden.HC.11	Sweden.IBD.066A	Sweden.HC.19	AHD.43	Mel.TX.HC17	Mel.TX.HC16	Mel.TX.HC11	Mel.TX.HC10	Mel.TX.HC13	Leda.A5	RVC19	Sweden.HC.3	RVC15	RVC14	RVC10	Sweden.IBD.061A	RVC12	Sweden.IBD.100A	RVC.17	AHD.37	AHD.35	AHD.31	Leda.C49	California.HC18	RVC08	Sweden.IBD.062A	RVC06	RVC07	RVC05	California.HC17	RVC03	RVC01	California.HC13	California.HC20	Sweden.IBD.102A	Leda.A53	AHD.94	Sweden.IBD.099A	AHD.88	Mel.TX.HC15	Finland.HC.20	Finland.HC.21	France.DC16	France.DC17	France.DC15	France.DC12	France.DC13	France.DC10	France.DC11	Sweden.HC.4	Sweden.HC.6	Sweden.HC.7	Leda.A29	Sweden.HC.1	Sweden.HC.2	AHD.73	Leda.A25	Leda.A1	Leda.C37	Leda.A21	Sweden.HC.9	Leda.C33
Sweden.IBD.101A	0.0	0.729855459695	0.709775145817	0.702787725856	0.727730688754	0.702472460374	0.688193591498	0.691997749285	0.716700516355	0.766338586041	0.718077441426	0.676269507906	0.672685019783	0.670265965879	0.70980404459	0.69570016726	0.712985957446	0.706485267624	0.753701479073	0.708580380028	0.694646929936	0.622249408526	0.681338114115	0.664463720558	0.718510601335	0.694816856244	0.700874007514	0.700738862769	0.716506751688	0.679944138873	0.675278433965	0.671211156415	0.721442703646	0.736544104221	0.671616723556	0.672795656403	0.665932319884	0.693704338337	0.711805806965	0.759643204014	0.663446980799	0.710679800268	0.712936546486	0.851888061451	0.727649199254	0.68032223	0.686772334169	0.725003437192	0.692605791301	0.722314142191	0.728243468389	0.703525879721	0.724132531454	0.748677853823	0.710151656266	0.714112451965	0.742917772069	0.736354571932	0.720762544941	0.703263549763	0.655912558183	0.719290097712	0.671641188717	0.693341449347	0.672320635061	0.703030575683	0.647867621128	0.722065127459	0.694131379198	0.725927878101	0.729448524728	0.703770515557	0.71637554606	0.759533085446	0.685173129896	0.700550016535	0.75682019934	0.713324175548	0.676928365944	0.655113318442	0.672362263557	0.747197157101	0.697820411412	0.731543984484	0.706058114374	0.688907299586	0.721769525739	0.714512130355	0.71365418346	0.645272429048	0.697759288051	0.700932858991	0.676061980423	0.695189679459	0.679418173558	0.718471524412	0.758405295386	0.753977101025	0.710334233524	0.713847173604	0.705985603544	0.721353603082	0.729228977486	0.772793131657	0.599791551219	0.75445584477	0.64326553296	0.710264954353	0.62566639077	0.7909231173	0.729054777053	0.744512738571	0.717456905062	0.677998399605	0.717410914898	0.717554814162	0.683496113942	0.674695952018	0.749142945464	0.708190988427	0.746801570546	0.677066409662	0.714701939338	0.72454418988	0.652958223286	0.697073443787	0.693344581527	0.747290320841	0.731200224765	0.73989734002	0.684926828096	0.704359334739	0.712666229795	0.699275979717	0.677641820049	0.701028272503	0.718409051567	0.665930010852	0.709571724688	0.649857649326	0.706611618975	0.70174078309	0.679289488397	0.670248326584	0.749121455773	0.68055130536	0.7387332895	0.700701518956	0.713884855451
France.DC8	0.729855459695	0.0	0.609862195242	0.645867382156	0.693060280447	0.720829007036	0.63427159317	0.643324663647	0.717748151557	0.748209621589	0.808327394801	0.771152269335	0.726953085366	0.739951443792	0.768614654665	0.736792840188	0.723295776421	0.760868538835	0.724457670477	0.671848954737	0.727498008316	0.725211891527	0.764187662734	0.744147717535	0.783632687251	0.778035783667	0.768888371971	0.775053472154	0.768338616807	0.698975069454	0.749316538218	0.708005609998	0.691533945615	0.720192160252	0.721476988992	0.746899238127	0.746902393491	0.730958763439	0.71851120868	0.706859312657	0.762595470617	0.691808142499	0.772397006003	0.864696673383	0.804896139303	0.7891513918	0.749303568954	0.772784754801	0.76267928876	0.782911640054	0.757076179254	0.727515707204	0.654228968056	0.677500354032	0.71231791143	0.716949368263	0.61940417676	0.786318146244	0.699233053913	0.733396635889	0.752488122919	0.796002655846	0.710047860773	0.71176236873	0.74534319657	0.665539939054	0.686283499156	0.777267387094	0.750096895329	0.737319000981	0.777188627719	0.755497431621	0.752561772342	0.819286463939	0.765655581627	0.761737080161	0.791236074999	0.723583600558	0.748473921964	0.697233940352	0.765939919687	0.711210968118	0.696674056626	0.777122513732	0.740087807808	0.785817406425	0.771613642441	0.775625336989	0.759223052394	0.761176938317	0.764742779512	0.740031351651	0.749528277857	0.748639849689	0.728382917876	0.804465045002	0.708059356196	0.767047220831	0.792281954813	0.646692056027	0.781686360376	0.610931423611	0.703283496932	0.703690658045	0.708993951863	0.73482157579	0.739534812864	0.774526411975	0.765849197726	0.774158441266	0.737520447778	0.741414530126	0.766996612186	0.742311407162	0.690636369305	0.72249624132	0.78922479579	0.759263105597	0.693470320175	0.799684420954	0.782967778315	0.715132702146	0.690392086967	0.816727919425	0.599261262795	0.78970083624	0.779751978839	0.805704636972	0.750422167639	0.645094077712	0.78064319242	0.71348963432	0.683943726829	0.688284605007	0.779566846367	0.643257152622	0.767773227676	0.752729745848	0.785361280403	0.672697719274	0.76453231305	0.780246970982	0.771603444854	0.71543837103	0.67230856522	0.691928864569	0.728535920593	0.723839463707	0.782840058794
France.DC9	0.709775145817	0.609862195242	0.0	0.705993316757	0.661275451977	0.764179320798	0.664256085096	0.632036837761	0.729633258589	0.803173471982	0.807331096087	0.783755366343	0.700850014829	0.761399404744	0.797014427819	0.756615300207	0.79542926722	0.787407224263	0.709503537776	0.697643305673	0.710608478682	0.757958803132	0.809338897841	0.749096348047	0.807631128476	0.815923162064	0.786547405636	0.794475234403	0.793972088615	0.791418030863	0.744707014032	0.761101380452	0.759761871956	0.756268954418	0.752964570446	0.780983356998	0.743759221484	0.757594424002	0.709549640392	0.738078808772	0.809612659986	0.683003412076	0.746507019605	0.890499114182	0.83538024768	0.775447517875	0.762518007024	0.753455085305	0.782577742549	0.803386307057	0.797890387369	0.751556057087	0.542573514381	0.711444170645	0.781082171382	0.698348389407	0.603852605769	0.801828807248	0.733805635936	0.695760034473	0.780640421751	0.823920657874	0.750123808513	0.689656956786	0.746999028751	0.720265924178	0.721479864815	0.828978988464	0.779208396014	0.783140974117	0.775044842442	0.744468102185	0.748242264806	0.825020560937	0.777283058503	0.78631719468	0.830466217422	0.703836078157	0.737188390882	0.723357133337	0.81514165672	0.705334752708	0.717122930232	0.795441399546	0.774064660969	0.773613436717	0.782913615948	0.802733735898	0.789124966693	0.723325590608	0.785366322692	0.750160974006	0.784804215744	0.728977261721	0.743334790622	0.797020747669	0.737502808561	0.795127598035	0.83381919962	0.646739475235	0.793288690107	0.637233665196	0.698215817333	0.562017105483	0.664122371283	0.74997435594	0.762785079923	0.775931683112	0.755113262036	0.791464530554	0.770902562111	0.735826633934	0.781027652564	0.801669568087	0.705998076583	0.720807952609	0.796275641039	0.764845183519	0.670231279851	0.80932927543	0.797127565493	0.727917148676	0.72540390849	0.83714267594	0.633973519495	0.802110182416	0.786779876401	0.785350651531	0.764054610196	0.653644689543	0.784112735293	0.760990629175	0.664933551123	0.680000331394	0.738830858293	0.601537761713	0.778744401758	0.762110151693	0.782331284064	0.669384783202	0.79086761527	0.821218174794	0.779121787572	0.678695261802	0.696077820181	0.720296762643	0.715157418501	0.749500966252	0.782447498899
France.DC4	0.702787725856	0.645867382156	0.705993316757	0.0	0.692280584548	0.74181713952	0.576803905118	0.61813557711	0.749578822827	0.766144105176	0.800191316603	0.759430054186	0.763063690739	0.730162115533	0.760556165592	0.735239782586	0.73194659669	0.754347591124	0.697695908633	0.67553348062	0.740059681123	0.737051196195	0.775927280042	0.731080866849	0.78587646773	0.722764409768	0.793677346195	0.746056483751	0.760317282787	0.705786209481	0.742363336514	0.749991893606	0.703450375537	0.694844321862	0.714060937969	0.764690016056	0.714522907473	0.695450519802	0.703546070543	0.744858395342	0.737977275196	0.706227801705	0.715998908202	0.804219324688	0.821163350207	0.74359859006	0.726032164823	0.720578122891	0.750220665914	0.759727913701	0.756052115952	0.757077800294	0.694284155729	0.707606236831	0.710122533849	0.648318959672	0.683167915124	0.759295611759	0.658380460005	0.761765004766	0.755939064298	0.791477478304	0.752742352768	0.748791602676	0.751812781783	0.709037564987	0.645184430855	0.799876913138	0.723189170183	0.741481685088	0.765453216989	0.766199147407	0.715076419425	0.77587974987	0.754346945247	0.757935493662	0.799797011682	0.738950959603	0.750473927561	0.738470187894	0.7720077468	0.773790005548	0.710319981827	0.750389967259	0.714977199164	0.725785676694	0.733565930953	0.746675959541	0.741385351814	0.747613316384	0.769748483729	0.722345776659	0.756404389104	0.733792160791	0.737143687606	0.779432219071	0.681802319457	0.738964186581	0.792750841461	0.676291883682	0.736869184723	0.66768291726	0.708715721527	0.742130288543	0.673467936572	0.664215577693	0.745991485084	0.765196941843	0.730047042356	0.711226285717	0.768658548981	0.737610288241	0.737963825736	0.745928238405	0.687029097597	0.729065844486	0.763109203848	0.760718297852	0.733293929004	0.788013862903	0.737566563962	0.710451388624	0.692370105444	0.824381544984	0.644358806675	0.77224356948	0.774360846037	0.796863219457	0.738556007537	0.688259632021	0.772482392747	0.70241802957	0.679533871968	0.74477682879	0.761357923164	0.635283017009	0.72022117884	0.738885118759	0.747533560577	0.680136679273	0.747119917424	0.775025897586	0.727397465284	0.721020473028	0.7324668035	0.698987823282	0.657973243979	0.733804867585	0.751050496287
France.DC5	0.727730688754	0.693060280447	0.661275451977	0.692280584548	0.0	0.697577853016	0.696405671605	0.662396244696	0.664010262234	0.715591845622	0.777210616579	0.750366809107	0.700745089875	0.725129975132	0.734579126427	0.695257104832	0.705465357963	0.763437203145	0.730452055725	0.631220274305	0.677765818886	0.731169995148	0.742195301799	0.704547710371	0.739329872005	0.735642083373	0.760445860828	0.749509936725	0.767614818718	0.724576325273	0.714972481274	0.685044589539	0.711109485575	0.695771542472	0.718022959119	0.724724935415	0.689841441357	0.706173741567	0.661092061317	0.68153374048	0.730925315529	0.655764711726	0.702639376936	0.825448464227	0.770927785197	0.724395292007	0.743531973919	0.698837608123	0.745742920789	0.725098809884	0.739241455416	0.704320089567	0.664719523873	0.656522315536	0.70910074944	0.69028752811	0.69322421567	0.747167369771	0.636434509763	0.680668283467	0.721798120731	0.779787730856	0.718524340729	0.691599294294	0.740906432961	0.714379554533	0.690312582109	0.786735881854	0.721903066426	0.744404935062	0.769292562146	0.744888986994	0.693658156104	0.761526615716	0.706185178988	0.738275397975	0.774483829111	0.693628683945	0.723699458548	0.739709332662	0.737836220517	0.698127195869	0.669480164533	0.735322265727	0.70580908112	0.705283099873	0.724048554212	0.755590893466	0.717680685777	0.70925411437	0.741534566961	0.741850175365	0.744565989656	0.738623181519	0.724461729762	0.765643759726	0.72354092451	0.710689374457	0.780827742864	0.623513236223	0.715852322631	0.649974260377	0.664773196345	0.647987314268	0.719756746351	0.679452568166	0.720907396803	0.729891211448	0.712224846252	0.709051491714	0.741211472913	0.747228508004	0.722475684829	0.702331190937	0.678692125575	0.646574605459	0.738852718717	0.687959733599	0.65402456988	0.755883118847	0.748847831739	0.701511457951	0.676924285814	0.765210648967	0.67053223818	0.768468230252	0.751712488765	0.78350691602	0.757182470858	0.658074108447	0.72251210632	0.688282187143	0.680691288391	0.728755972771	0.741220696568	0.612041395159	0.71274404361	0.729597385978	0.735010100771	0.671177608541	0.744582856462	0.732326084247	0.703800615369	0.658999064516	0.696831281736	0.698795351253	0.729237980685	0.732638379531	0.760095752718
Nor.C16	0.702472460374	0.720829007036	0.764179320798	0.74181713952	0.697577853016	0.0	0.753101985469	0.680670831104	0.690123528075	0.700655331068	0.719029898239	0.683363427363	0.659106605563	0.661314898095	0.679173324662	0.680217541827	0.677335747154	0.696006465396	0.770232721892	0.639273865997	0.699421359176	0.695539257397	0.710673628476	0.644143328393	0.697099965882	0.684873897879	0.690534649689	0.73217618766	0.706313297155	0.625985887187	0.679898774108	0.63077553808	0.620356371282	0.686064565111	0.669247536759	0.722531621609	0.660340342929	0.62760819986	0.638638136767	0.672690581585	0.722053078656	0.600851384099	0.676092055502	0.844075689497	0.72128308236	0.710944924395	0.667424274845	0.682425479331	0.698386374705	0.696263116849	0.649847270563	0.67776472204	0.741342173023	0.629405104034	0.678600637268	0.68802923262	0.733928768651	0.728294315746	0.646059821344	0.67877775657	0.672474534184	0.72193538163	0.696267165954	0.631111409191	0.711382319119	0.635280608932	0.674584140314	0.731206340937	0.623557954087	0.727671835593	0.720808326059	0.713767433759	0.64782718453	0.763524167648	0.660706659577	0.7033920486	0.717977169456	0.666361832442	0.683959741317	0.693875176206	0.71078200228	0.694865042029	0.595524146503	0.698876429213	0.696249722978	0.701090698486	0.72861762085	0.717595495934	0.683546702248	0.683163780694	0.645298496079	0.711592980424	0.640293176444	0.6641704474	0.696740399734	0.751671337535	0.71653571218	0.708257170708	0.707929231265	0.682790979299	0.656688572915	0.723990751101	0.664337278369	0.732762867472	0.678024296654	0.67348015698	0.606421993436	0.701752054204	0.67990095869	0.677330014831	0.655507134524	0.719523259509	0.657639362693	0.62247053929	0.702510821657	0.627153846093	0.696456462505	0.695101641494	0.701690605002	0.711330410492	0.720472350918	0.676397911367	0.613380829682	0.743297556033	0.685462952563	0.702397249079	0.715649719668	0.740061036806	0.667191279575	0.648860600014	0.687865945724	0.669874491227	0.726637162751	0.670732595344	0.705234447951	0.73210342767	0.657992472625	0.659228320228	0.741539473713	0.697276242384	0.702021880772	0.702680577429	0.675545021577	0.674007804408	0.655030511567	0.659470481131	0.737566508893	0.6686953898	0.708840477705
France.DC7	0.688193591498	0.63427159317	0.664256085096	0.576803905118	0.696405671605	0.753101985469	0.0	0.631713394325	0.720024240276	0.764171250287	0.801889752701	0.779998134731	0.759164372152	0.695353920783	0.767417416792	0.771444183855	0.750812308417	0.777572138456	0.724035241106	0.689975518893	0.748683003485	0.737044047473	0.750188761625	0.739668717739	0.778152779128	0.771951212382	0.772507107508	0.789918961425	0.771901997568	0.727599412767	0.725138677906	0.717109633325	0.735554986826	0.718355586015	0.735867665587	0.739435532206	0.731663184954	0.695631363481	0.687306002913	0.757040058494	0.743975846315	0.705583163012	0.694300021084	0.830825869349	0.819466159493	0.773956155277	0.751286467724	0.738774360205	0.796838720947	0.786301946039	0.772031113312	0.757548064178	0.684492514015	0.735825710842	0.702138170562	0.641692401168	0.651440663271	0.782806569376	0.693590455893	0.741925573058	0.763796048176	0.799008263674	0.736557722931	0.765331645415	0.711177489286	0.743321820573	0.650039035135	0.805020156752	0.719611310615	0.729874150966	0.773415380526	0.764511188965	0.737892355919	0.801273652924	0.740716664857	0.764262242998	0.823117103178	0.724779021139	0.753050649241	0.693982279733	0.780677716315	0.747862113991	0.723817683793	0.768314773715	0.740152019371	0.740173358541	0.725766519271	0.787007658528	0.754950219432	0.750629088201	0.78260827416	0.769154290115	0.787124873881	0.775311475849	0.770948708049	0.791867284473	0.640403049938	0.760254510069	0.815509799348	0.582664870245	0.771107744905	0.622874371293	0.720429156217	0.745287235507	0.686488381882	0.682879852456	0.765834809561	0.780260908744	0.726798306761	0.73526392978	0.761176594663	0.772855105793	0.775571621923	0.752160724279	0.724987661384	0.732065226782	0.768054547809	0.741462690881	0.697953014572	0.781236827826	0.740581852985	0.681122546042	0.709068225063	0.811824901387	0.607260573257	0.801205148675	0.785819786081	0.805754076011	0.76348424387	0.660028350336	0.773891372727	0.712064590909	0.660752765539	0.731939673988	0.756560673503	0.592703811982	0.759995330061	0.724460050328	0.755882428943	0.665381456207	0.762041176271	0.775916488091	0.750657895344	0.742753328553	0.714659145525	0.709270131853	0.670895336401	0.747962997693	0.753152239078
Nor.C10	0.691997749285	0.643324663647	0.632036837761	0.61813557711	0.662396244696	0.680670831104	0.631713394325	0.0	0.720345451982	0.721197037334	0.802328642058	0.774335035446	0.761119601985	0.707506499994	0.767591937765	0.746754643957	0.764845745247	0.767488437595	0.599255908984	0.614432384065	0.739944165342	0.75144050763	0.767688450131	0.708075864168	0.790570858172	0.760584002458	0.809122265656	0.789763280394	0.775497836249	0.681525229871	0.732894798973	0.674213412768	0.697166298221	0.657767719583	0.691379247072	0.751303501335	0.67102805435	0.66713710862	0.631224171195	0.748614873764	0.761229550695	0.684830758871	0.681549883421	0.831310645327	0.838119340654	0.790522486981	0.721241249876	0.72285502893	0.773816233703	0.739600594751	0.764054845242	0.761661313151	0.611376315113	0.698911855889	0.708880747709	0.636244504942	0.640164734813	0.795474212878	0.69159673459	0.751838567244	0.755881508804	0.813756727867	0.746544576285	0.710698079246	0.75258649328	0.717908916436	0.677732886273	0.822996390972	0.719219677759	0.742283523322	0.788694327533	0.768668796224	0.674506334581	0.816910218162	0.730162433148	0.723822678613	0.821527310596	0.715451783412	0.738432387189	0.736732584701	0.781801975902	0.717046433871	0.679546940095	0.777516911921	0.678352176097	0.748822497043	0.762374829252	0.752363724287	0.734363727812	0.766983727711	0.777227108489	0.72320556575	0.778495383397	0.771210510294	0.765725356104	0.794289114361	0.650180183279	0.65609053633	0.812580917613	0.588930056957	0.765595137181	0.522352628397	0.727445821275	0.653140955779	0.668882138374	0.609823044408	0.72593510005	0.779206975299	0.746711591788	0.701601178728	0.784906144823	0.773348227382	0.768093652885	0.704755609781	0.610396277079	0.606284879548	0.788902209952	0.745662458113	0.66966626815	0.819066136765	0.777482442297	0.648403884983	0.701745074393	0.83961558407	0.606027395639	0.813122810465	0.799667179173	0.814975608359	0.74713512025	0.646844470815	0.740466653421	0.70485033883	0.557049544454	0.714796646845	0.781049015632	0.565207950828	0.739439032401	0.739131555933	0.788122459409	0.676618514472	0.775810199513	0.767692195937	0.754598830045	0.681086912249	0.666195596243	0.709992399105	0.643439940991	0.762419957524	0.788605422411
France.DC1	0.716700516355	0.717748151557	0.729633258589	0.749578822827	0.664010262234	0.690123528075	0.720024240276	0.720345451982	0.0	0.656363015798	0.68818800783	0.679061272141	0.674884130363	0.657541944805	0.643110246515	0.656137247886	0.681821887227	0.702850568448	0.798516831819	0.638883363611	0.646735641857	0.676421058422	0.64287581297	0.622058943926	0.662035132049	0.671295279538	0.636177917521	0.724954512394	0.689233214765	0.712038280939	0.621143269564	0.619263161332	0.646588440699	0.676239368739	0.67802059887	0.638020263259	0.635417769878	0.670959008895	0.597711361079	0.669176052164	0.715174355405	0.709758128413	0.674621052551	0.825361106179	0.67830781675	0.710108017937	0.680406336332	0.704862436047	0.682264438729	0.66307967562	0.671622952426	0.692557098588	0.716917598829	0.672499257337	0.697343412718	0.686004131386	0.698366455306	0.680577634287	0.646098872898	0.612508048721	0.629963243826	0.699936552061	0.662526621657	0.71815657991	0.661287944457	0.664720113502	0.666241455546	0.689842140125	0.651077716731	0.68622107198	0.672276201396	0.701026800542	0.6891978648	0.759180646236	0.641857374417	0.699518808155	0.674898900357	0.721769886439	0.662223142557	0.658674162711	0.649319485508	0.70896451203	0.663254881268	0.656495435051	0.662237569054	0.672216102844	0.655571962845	0.72195112273	0.660431906624	0.685589187641	0.652092408584	0.721964022517	0.652163440519	0.686497298127	0.695864257093	0.707122700135	0.70425075011	0.718355284006	0.713371149059	0.655547830872	0.662870423348	0.680384178356	0.683875575891	0.689058779093	0.711774570714	0.671388807629	0.688229347333	0.683957732949	0.689093136378	0.695110196926	0.683127824242	0.785112935114	0.726291731159	0.641452002012	0.675952566335	0.684996476871	0.67517086568	0.642964223138	0.667882677831	0.68393424556	0.704701964277	0.687763406103	0.681727433254	0.692781509414	0.697000249505	0.68845346996	0.689198941046	0.7019197711	0.683737478401	0.653914195393	0.671099313252	0.626157776297	0.695257177002	0.642483927368	0.699107047112	0.717723329035	0.672168562564	0.665812609406	0.69583349855	0.613932497684	0.671201368462	0.649560802201	0.665861633944	0.673334296017	0.705129944108	0.639828912326	0.704834600051	0.690215407449	0.688666426047
France.DC2	0.766338586041	0.748209621589	0.803173471982	0.766144105176	0.715591845622	0.700655331068	0.764171250287	0.721197037334	0.656363015798	0.0	0.679442474501	0.69768216581	0.724921181408	0.697442014978	0.639750121032	0.701767389161	0.722556395223	0.684600812517	0.803263385498	0.67862755632	0.727365551603	0.708133886962	0.643351962446	0.685584520735	0.657716617641	0.673533203211	0.69628696951	0.690359360439	0.699069533477	0.72632408364	0.66852690093	0.650895022032	0.631572519399	0.662926777227	0.665315003972	0.691765054538	0.650540920821	0.721013856684	0.683827386152	0.733120519839	0.725467830615	0.727066439645	0.684394023692	0.8401389295	0.716035687673	0.738208305948	0.730248818683	0.745670997477	0.668689593293	0.576841203738	0.688855284134	0.758266009306	0.76057902782	0.709734196884	0.711973408796	0.739738767393	0.783463969801	0.695723641744	0.720945339936	0.693426599422	0.674226644312	0.669258960945	0.690898602754	0.742911368906	0.692886449157	0.715623493156	0.698836845963	0.665748307473	0.691849700301	0.659110137852	0.650059617119	0.708456455726	0.70010041625	0.755835237373	0.651966099123	0.687611126577	0.64022965881	0.762140362995	0.712247690885	0.710700322841	0.671701626846	0.708654508763	0.687801040549	0.665074190542	0.654563359382	0.687689334607	0.681798439059	0.704023166525	0.673953148665	0.69605183077	0.665350217491	0.722166417424	0.679679129672	0.70623144897	0.716165803762	0.699781885665	0.720373539793	0.691850938263	0.681446141015	0.719687970365	0.679826841022	0.725633359864	0.742053954455	0.762443515718	0.753029767314	0.659316124305	0.709757979828	0.671110062555	0.72765731782	0.71034466466	0.699916323751	0.810669867069	0.747066351781	0.655765069174	0.664363335434	0.671879116435	0.680854650372	0.696120760381	0.69705424604	0.66141504347	0.733434408819	0.71508249501	0.7346605363	0.696992398592	0.721237431245	0.721303869604	0.69455981606	0.68318628139	0.707438786848	0.744096330768	0.676406068095	0.67678294158	0.708657645282	0.702156793921	0.753918073719	0.776409144151	0.703109620799	0.687105611717	0.713939126599	0.673774572005	0.678731186506	0.60650173155	0.663756868185	0.718333125693	0.748067880666	0.635852987218	0.729454235754	0.704489492269	0.716403567633
