	Sweden.IBD.101A	France.DC8	France.DC9	France.DC4	France.DC5	Nor.C16	France.DC7	Nor.C10	France.DC1	France.DC2	Finland.HC.19	Finland.HC.15	Finland.HC.14	Finland.HC.13	Finland.HC.12	Finland.HC.11	Finland.HC.10	California.HC1	RVC20	California.HC8	Nor.C14	Finland.HC.3	Leda.C25	Finland.HC.6	Leda.C21	Finland.HC.4	Nor.C17	AHD.83	AHD.82	Leda.C13	Leda.C85	Leda.C87	Leda.C81	Leda.A73	AHD.89	Leda.C82	Leda.C41	Nor.C12	California.HC12	Leda.A37	California.HC22	Leda.A33	Sweden.IBD.065A	California.HC21	California.HC27	California.HC24	California.HC25	California.HC28	California.HC14	Leda.A61	Leda.C73	Sweden.IBD.067A	Nor.C8	Nor.C9	Nor.C6	Nor.C7	Nor.C4	AHD.71	Nor.C2	Nor.C3	AHD.74	Nor.C1	Leda.C17	Leda.A13	California.HC7	Leda.C9	France.DC6	AHD.61	Leda.C1	Mel.TX.HC3	Mel.TX.HC2	Mel.TX.HC4	Mel.TX.HC7	Mel.TX.HC6	Mel.TX.HC9	Mel.TX.HC8	Leda.C53	Sweden.HC.23	Sweden.HC.21	Sweden.IBD.098A	AHD.51	Sweden.IBD.064A	Sweden.IBD.060A	Sweden.HC.16	Sweden.HC.17	Sweden.HC.12	Sweden.HC.13	Sweden.HC.11	Sweden.IBD.066A	Sweden.HC.19	AHD.43	Mel.TX.HC17	Mel.TX.HC16	Mel.TX.HC11	Mel.TX.HC10	Mel.TX.HC13	Leda.A5	RVC19	Sweden.HC.3	RVC15	RVC14	RVC10	Sweden.IBD.061A	RVC12	Sweden.IBD.100A	RVC.17	AHD.37	AHD.35	AHD.31	Leda.C49	California.HC18	RVC08	Sweden.IBD.062A	RVC06	RVC07	RVC05	California.HC17	RVC03	RVC01	California.HC13	California.HC20	Sweden.IBD.102A	Leda.A53	AHD.94	Sweden.IBD.099A	AHD.88	Mel.TX.HC15	Finland.HC.20	Finland.HC.21	France.DC16	France.DC17	France.DC15	France.DC12	France.DC13	France.DC10	France.DC11	Sweden.HC.4	Sweden.HC.6	Sweden.HC.7	Leda.A29	Sweden.HC.1	Sweden.HC.2	AHD.73	Leda.A25	Leda.A1	Leda.C37	Leda.A21	Sweden.HC.9	Leda.C33
Sweden.IBD.101A	0.0	0.255410558667	0.307781411333	0.366176505333	0.358160596	0.333462002	0.281185546667	0.357051948	0.342748034	0.528852459333	0.425009908	0.407594062667	0.177134804667	0.385592882667	0.383439168667	0.334895318667	0.347493631333	0.316962591333	0.364718442667	0.272104718667	0.214950815333	0.322534622	0.416425034667	0.267494693333	0.400389928	0.304846721333	0.349806963333	0.440075575333	0.403040984	0.380356610667	0.334591977333	0.305900446667	0.352406773333	0.464161914667	0.388038125333	0.304029052667	0.383465326	0.325474458667	0.346223504	0.260629754	0.354729125333	0.351624488667	0.405668990667	0.450003604	0.403590331333	0.331546406667	0.349579473333	0.372717271333	0.400728686	0.411987462667	0.426035694667	0.216629050667	0.393463649333	0.305228976	0.279957415333	0.355160408667	0.425053749333	0.452779438667	0.260141736	0.244478153333	0.336062619333	0.370279922	0.324018456	0.2658035	0.433702063333	0.313334836667	0.242565875333	0.46395348	0.404383752667	0.423688625333	0.445153896667	0.398942556667	0.383214732667	0.353870710667	0.353202212	0.320401980667	0.551679184667	0.210347304667	0.349894474	0.107179612667	0.358048130667	0.627373654667	0.273022408	0.531349253333	0.452990664667	0.470979261333	0.472102700667	0.418887956667	0.323652298	0.295302907333	0.342797236	0.394615555333	0.363857568667	0.38128262	0.293338368667	0.539559357333	0.418893112	0.427343497333	0.43613909	0.301466205333	0.35700612	0.442641918	0.218782856667	0.437636867333	0.320444109333	0.49100118	0.376977347333	0.415046439333	0.357554562	0.443677874	0.307695426667	0.238031970667	0.370906954667	0.360956795333	0.340316508	0.292188888	0.383782354	0.199935642	0.378728481333	0.403954267333	0.360146600667	0.343484460667	0.252906901333	0.399745658667	0.228017194	0.397408350667	0.369097301333	0.526272877333	0.462581749333	0.366315632	0.412296457333	0.343160846667	0.439599486667	0.225700148	0.384666675333	0.283811966667	0.364031692	0.383072497333	0.437009380667	0.219022219333	0.457603803333	0.460185979333	0.351021051333	0.31882529	0.314140702667	0.267219446	0.393256090667	0.411652517333	0.36294085
France.DC8	0.255410558667	0.0	0.177610339333	0.451887176	0.209685206667	0.360844179333	0.321111276	0.399030529333	0.390398014	0.620793703333	0.592611705333	0.572248317333	0.189570598	0.557236485333	0.57203947	0.507320593333	0.522315260667	0.492690262	0.442636465333	0.206488234667	0.255307532667	0.486253936667	0.538403418667	0.443652653333	0.580500170667	0.466583364	0.524098262	0.608098319333	0.57073018	0.540798058667	0.486117554667	0.401115349333	0.393772734667	0.603885092	0.549209942667	0.445293035333	0.518001634	0.497741229333	0.412525226667	0.157597092667	0.524765568	0.219214774	0.555211662667	0.539200576	0.518886916667	0.477717538667	0.518908429333	0.535341042	0.548807687333	0.593986025333	0.507346753333	0.237434944	0.335924528	0.166297562667	0.451548107333	0.444749120667	0.259257536	0.616155678667	0.274353748	0.192581053333	0.496269499333	0.513361471333	0.475095470667	0.35181906	0.583578499333	0.370049295333	0.409843208667	0.608671248	0.525837064667	0.572027841333	0.609469360667	0.555048727333	0.536683278	0.528311862667	0.530018965333	0.496358798	0.656237599333	0.238758427333	0.526639843333	0.257753332667	0.502733490667	0.704311182667	0.329249108	0.631787477333	0.618964668667	0.620057457333	0.616943308667	0.58698679	0.441042294	0.379058351333	0.517164426667	0.539934735333	0.498655696667	0.52377828	0.400791860667	0.644807457333	0.503523294667	0.555204696	0.587603799333	0.311048001333	0.532214094667	0.49689219	0.252486846	0.268391302	0.450979790667	0.587178072	0.531269988667	0.560799487333	0.50300789	0.534868239333	0.447511622667	0.256554932	0.545937968	0.527280886	0.48119086	0.311264994667	0.538508380667	0.28283699	0.228864582667	0.55527685	0.530844622	0.459432454	0.226398385333	0.564313133333	0.176309056667	0.548687533333	0.528951738667	0.658041116	0.5671284	0.274204646667	0.564994946667	0.391452912	0.489976553333	0.332451994667	0.554104520667	0.36432708	0.533878865333	0.554517046667	0.59962959	0.314996111333	0.626055627333	0.60956303	0.51842401	0.444934646	0.292357685333	0.357544856667	0.478838678667	0.572278530667	0.536683855333
France.DC9	0.307781411333	0.177610339333	0.0	0.529881959333	0.254015094	0.428716065333	0.314364547333	0.426476922	0.466365426667	0.68634602	0.666825919333	0.661055895333	0.287648206667	0.642965514	0.64541754	0.591508048667	0.601575578667	0.567925077333	0.500798963333	0.292873352667	0.298431648	0.562867954667	0.65267585	0.520264224667	0.657182679333	0.564791878	0.600576729333	0.68910188	0.652736712667	0.642011407333	0.563233626	0.485801424667	0.485804956667	0.682305974	0.635299728667	0.553428316	0.625566149333	0.584921711333	0.466264672667	0.239053894667	0.606849508667	0.182001370667	0.62930765	0.611757400667	0.617281186667	0.560350944667	0.609035879333	0.613409690667	0.639268418667	0.670652271333	0.592755196667	0.337319146	0.227977444667	0.245063255333	0.534872862667	0.508312357333	0.182052795333	0.698360155333	0.340479200667	0.230925575333	0.593324705333	0.624335338667	0.570802859333	0.444130066	0.687341326667	0.429425452	0.48939616	0.702923075333	0.60730728	0.659839135333	0.692520576	0.631600972	0.61458322	0.593901956667	0.609695271333	0.580969438667	0.747393257333	0.339833817333	0.60894498	0.323113924	0.620285363333	0.783355680667	0.398332662	0.698775855333	0.712667205333	0.721694728667	0.719184256	0.666428889333	0.517249468	0.471090684	0.590952019333	0.640064746667	0.605911692	0.618192974	0.480289082667	0.741683006	0.583384474	0.629274335333	0.682474821333	0.374811080667	0.60969975	0.584256076	0.348228728	0.166689952	0.531408495333	0.668854103333	0.618049998667	0.654655121333	0.607880026667	0.589469546667	0.525832984667	0.352237432667	0.623672788667	0.611805197333	0.557225026	0.409042814	0.632481017333	0.331229289333	0.162407595333	0.647798813333	0.608293614667	0.533842836	0.337907920667	0.65699129	0.221294245333	0.639633736667	0.625071698	0.733533647333	0.644001328667	0.185430400667	0.647247911333	0.480514872667	0.491483324667	0.377930207333	0.627856894667	0.390321944667	0.625724311333	0.64749707	0.692180522667	0.365792118667	0.702108886667	0.703473658667	0.589793922667	0.54502372	0.373768254	0.438854944	0.533623522	0.659126906	0.614459950667
France.DC4	0.366176505333	0.451887176	0.529881959333	0.0	0.525593293333	0.37257155	0.445994918667	0.495605216	0.371823568667	0.492428844667	0.515537538667	0.517160502667	0.463224968667	0.458668697333	0.455746176667	0.41222268	0.411865216667	0.418647999333	0.343157897333	0.453110162667	0.495752000667	0.436931388667	0.479722492	0.338070137333	0.505340476	0.386495317333	0.344817207333	0.549769462	0.501579766667	0.464890456	0.411773464	0.394264856	0.3980853	0.392929010667	0.469268749333	0.385824178	0.440267874	0.367060454667	0.361099185333	0.482090320667	0.392294124	0.565057558	0.390340324	0.419779710667	0.47411679	0.418139076	0.426733714667	0.441302699333	0.498861966	0.50568016	0.469344996	0.38499622	0.576618334667	0.493658909333	0.353994127333	0.347986740667	0.618209672	0.550641538667	0.320591929333	0.507965916	0.457150243333	0.447400896667	0.437965362667	0.319081317333	0.450463455333	0.376042736667	0.329956980667	0.564448326667	0.306009568667	0.518644241333	0.531018240667	0.515628344667	0.44771447	0.415440270667	0.445003865333	0.409360400667	0.587285411333	0.410311964667	0.463563324667	0.387021544667	0.472690773333	0.648819942667	0.371127882667	0.53450904	0.512747131333	0.535845912	0.537297347333	0.504400562	0.337943435333	0.425349307333	0.457604154667	0.485166528667	0.472396492667	0.47310698	0.412690643333	0.598509918667	0.334514354667	0.478383569333	0.53348965	0.361586036	0.447538342667	0.458632792667	0.40557003	0.604915178	0.362717474667	0.488440208	0.485549232667	0.519423143333	0.470316547333	0.42267487	0.411690757333	0.423488284	0.398143952	0.422102732667	0.40836552	0.4524045	0.472983126	0.422569814	0.561140422667	0.503079718	0.446414540667	0.397111476667	0.4120035	0.507331410667	0.436028951333	0.506941866667	0.438789882667	0.610504993333	0.499980573333	0.558793185333	0.514172538667	0.357079626667	0.546858894667	0.395483881333	0.412526848667	0.316469197333	0.463029364	0.480807946667	0.53802189	0.320368948667	0.547650038	0.520365032667	0.460252732667	0.384977971333	0.413218698667	0.418174419333	0.449130848	0.519874784	0.437707118
France.DC5	0.358160596	0.209685206667	0.254015094	0.525593293333	0.0	0.396956968667	0.313370249333	0.362966501333	0.414996784667	0.568689432667	0.646673713333	0.632157125333	0.215338760667	0.610778132	0.608385855333	0.557153470667	0.571991406	0.564789880667	0.433165529333	0.155845118667	0.324316148667	0.547275272667	0.62289582	0.50487974	0.613511690667	0.532165062667	0.581517420667	0.653162156667	0.629291485333	0.629665112	0.505680884	0.419373517333	0.424434101333	0.564003565333	0.594006342667	0.539238920667	0.534614324667	0.545434673333	0.333804506667	0.145246576667	0.61311936	0.196359952667	0.570841184	0.485026377333	0.584880392667	0.570806496	0.598363106667	0.572121871333	0.646601378	0.57626164	0.577153746667	0.288345045333	0.353200769333	0.124126710667	0.509919718	0.479763804667	0.209655832	0.653979532	0.270775368	0.233109837333	0.585588704667	0.612422126	0.568202885333	0.434251682667	0.682390242	0.40242297	0.479112298	0.686828298667	0.579792086	0.647319025333	0.647525228667	0.636009192667	0.498322376667	0.585012985333	0.564718330667	0.574909303333	0.700760044667	0.287907398	0.597757244667	0.346585174	0.625747714667	0.813888968	0.383140269333	0.6857729	0.632692967333	0.674081377333	0.671017434	0.663775539333	0.465269447333	0.456461232667	0.579053381333	0.651990454	0.600446694	0.635704105333	0.465652564667	0.711324869333	0.486857894667	0.50254834	0.662180268667	0.354783286667	0.576431278667	0.502121594	0.304945051333	0.179310132667	0.538376921333	0.551336949333	0.630880168667	0.661404122	0.605797720667	0.479727387333	0.49235202	0.314541310667	0.594814593333	0.545588334	0.442273045333	0.288023596	0.623175752667	0.355252322	0.227913705333	0.640216548667	0.56281315	0.521092346	0.286275634667	0.628414664	0.235066248667	0.621147772	0.600847330667	0.703252548	0.609780004	0.317954625333	0.585344152	0.450911617333	0.454976436	0.371880154667	0.603208863333	0.398799212	0.602432821333	0.630599650667	0.674256015333	0.301878755333	0.674935315333	0.637519647333	0.576030298	0.565109386	0.347279410667	0.382168986	0.432501628	0.648828374667	0.580353523333
Nor.C16	0.333462002	0.360844179333	0.428716065333	0.37257155	0.396956968667	0.0	0.459483806	0.432027920667	0.317456538667	0.354630556	0.472148223333	0.460846963333	0.305530314667	0.374183351333	0.436156708	0.403060571333	0.401530926667	0.326336442667	0.405488516667	0.335530227333	0.386477202667	0.373022148	0.429917562	0.312956998	0.446283263333	0.358881832667	0.399388868	0.510432234667	0.466434511333	0.37302639	0.345048535333	0.255834772667	0.267229063333	0.510459886	0.358580712667	0.343953828	0.425378174667	0.339195235333	0.348073280667	0.310324201333	0.423098064667	0.399549444	0.402565554	0.405841687333	0.408284249333	0.379751867333	0.365608783333	0.40976614	0.460195084	0.496237140667	0.385392084667	0.22705059	0.524520396667	0.329492494	0.327369086667	0.207189932	0.487812635333	0.497843598	0.229617416667	0.332898092667	0.387731173333	0.424412058667	0.381690235333	0.25493743	0.501190958667	0.209487416	0.308062666667	0.528656908667	0.372352238667	0.482834582	0.470269177333	0.446285552	0.396779417333	0.395328072667	0.38073313	0.283589213333	0.54361118	0.249272414667	0.403899677333	0.339410673333	0.419240088667	0.568822360667	0.154196388667	0.525381947333	0.509660629333	0.532981296667	0.530005292	0.470465316	0.288877262667	0.287336328	0.384015255333	0.469108921333	0.397540182667	0.442164779333	0.290229398667	0.552133066	0.345422204667	0.434590572667	0.484564449333	0.12416181	0.397406574	0.400808186667	0.244572736	0.487745054667	0.342468191333	0.451332954	0.421050446667	0.462458688	0.407153908	0.392565804	0.305534603333	0.27908635	0.403227798	0.312080528	0.381648388667	0.253903279333	0.447592969333	0.312352057333	0.436380052667	0.452379124	0.395935985333	0.255360293333	0.273262658	0.468602739333	0.295088062667	0.452194923333	0.428484323333	0.550874782	0.441890871333	0.469810523333	0.446953203333	0.23201037	0.555476408667	0.315262303333	0.420928409333	0.43658499	0.406081804667	0.433437176667	0.492772357333	0.309755617333	0.512920178667	0.489011468	0.384097045333	0.295251317333	0.190903971333	0.279079778667	0.434418531333	0.469723712667	0.398541066667
France.DC7	0.281185546667	0.321111276	0.314364547333	0.445994918667	0.313370249333	0.459483806	0.0	0.351379905333	0.459371514	0.617625959333	0.628611938667	0.629519472	0.360711419333	0.587024066667	0.562872627333	0.533397834667	0.526813687333	0.532182431333	0.434676141333	0.325358672	0.381029303333	0.540684411333	0.604174513333	0.44819376	0.597907992	0.521121802667	0.530285098	0.645169094	0.609419117333	0.605162404	0.479933074667	0.478240318667	0.484404694667	0.579832882667	0.568011914667	0.531041000667	0.573957798	0.497546032	0.371615536	0.336372711333	0.549105850667	0.335122696667	0.561189432	0.51327422	0.59212913	0.538094533333	0.577427770667	0.548977914	0.626138028667	0.610937854667	0.582567296	0.36806328	0.357195629333	0.319951410667	0.45479991	0.432139215333	0.298090722667	0.641752184	0.346809745333	0.358150238667	0.572891003333	0.57647973	0.560677177333	0.461148942667	0.635850704667	0.445231058	0.406548139333	0.676698348	0.524568344667	0.639801253333	0.627314820667	0.626225383333	0.543451660667	0.535548114667	0.541845325333	0.545859814	0.680385794	0.399879388667	0.578589656667	0.294103727333	0.596381748	0.78025002	0.461763173333	0.639714930667	0.636950112667	0.660753950667	0.661188364667	0.625910912667	0.437302004667	0.523407126	0.564905346667	0.623661972667	0.598157144667	0.616511152	0.509011475333	0.708924032	0.526702949333	0.556936934667	0.657233004667	0.410930745333	0.537557824	0.508708806	0.410767787333	0.39387861	0.481113434667	0.587330390667	0.611963848667	0.648608963333	0.593846254	0.529585239333	0.502992125333	0.422658036	0.541984709333	0.541214798	0.495024272	0.426855210667	0.600780944667	0.395676864667	0.345940529333	0.628384368667	0.536918227333	0.494500047333	0.401992969333	0.609090653333	0.247134086	0.620978802667	0.562167210667	0.697942786667	0.603471418667	0.355187565333	0.595825876	0.457244681333	0.433024509333	0.35860402	0.549133739333	0.289748090667	0.575120876	0.598984309333	0.65915599	0.282484178	0.637161442	0.640516254	0.562310618	0.513362200667	0.421405618667	0.458874439333	0.46904522	0.638035594667	0.546448066
Nor.C10	0.357051948	0.399030529333	0.426476922	0.495605216	0.362966501333	0.432027920667	0.351379905333	0.0	0.48727085	0.464615762	0.659296514667	0.661233422667	0.447256254	0.580167066667	0.638464443333	0.593681530667	0.611509298	0.544725336667	0.245591338667	0.329719022667	0.464965154	0.573120022	0.636376973333	0.529771164	0.642246681333	0.555573584	0.618492226	0.667183571333	0.664233792	0.588768192	0.544037638667	0.457140796	0.523590865333	0.491821097333	0.540213409333	0.559970856667	0.522372758	0.553535532	0.350523714667	0.428064872667	0.619603648	0.462176623333	0.547861986667	0.398100346667	0.632378524667	0.616631724	0.586541029333	0.615298747333	0.678551540667	0.497531297333	0.604382938667	0.444133332	0.463920113333	0.397400510667	0.535646463333	0.423791467333	0.499142732	0.67346956	0.418690584	0.447462586667	0.606789963333	0.635992491333	0.604262430667	0.541536653333	0.712500452667	0.465351779333	0.482632656667	0.697193172	0.59221865	0.658337137333	0.675712640667	0.651653846	0.521908575333	0.620215825333	0.596232597333	0.518478619333	0.698299223333	0.444314328667	0.622807224667	0.377939696667	0.625259597333	0.774045789333	0.438288557333	0.713485605333	0.631977464667	0.699632006667	0.694935323333	0.661946118	0.464749115333	0.555752291333	0.600537536	0.663515134	0.630014915333	0.655484004	0.543967826	0.721225921333	0.463186889333	0.314954328	0.680582936667	0.396021282667	0.611152406667	0.216503982	0.453121099333	0.447363135333	0.547386717333	0.292732198667	0.650222267333	0.683555739333	0.628391420667	0.400749346	0.561819277333	0.453583412	0.626992950667	0.512005103333	0.407569310667	0.27197278	0.658249919333	0.416618042	0.4432273	0.675570556667	0.604532762	0.460944868667	0.457784266667	0.653445468	0.316579426	0.65321502	0.645831237333	0.699858533333	0.628215312	0.465417888	0.507758541333	0.496544965333	0.21206456	0.408556110667	0.631013446	0.402235604	0.630656476	0.652611773333	0.702515283333	0.351273328667	0.691900906	0.653211423333	0.601392116667	0.540547066	0.406438222667	0.480463755333	0.228759716	0.68458432	0.618936594
France.DC1	0.342748034	0.390398014	0.466365426667	0.371823568667	0.414996784667	0.317456538667	0.459371514	0.48727085	0.0	0.451842937333	0.48850967	0.462197571333	0.392497822667	0.447956252667	0.443963714667	0.391721799333	0.42684412	0.404055349333	0.427844012667	0.376407871333	0.385702437333	0.396225010667	0.369086440667	0.346191495333	0.466586763333	0.332653882	0.420974173333	0.503493789333	0.451124806	0.429325655333	0.373885675333	0.330345782	0.297726595333	0.483174682	0.451964580667	0.304327081333	0.251054581333	0.390467244667	0.310871612667	0.400418894667	0.410625464667	0.496836581333	0.417998786	0.390006348667	0.371452853333	0.376826027333	0.423267898	0.435510352	0.407622293333	0.436719878	0.366315451333	0.339707328667	0.526680044667	0.416252915333	0.361933626667	0.343202722667	0.533898292667	0.503044472667	0.301271854	0.380880267333	0.365377484	0.393538948	0.321239046	0.344677304667	0.427157633333	0.293060745333	0.343805049333	0.488054339333	0.421130714667	0.483903787333	0.492226514667	0.475999282667	0.388955625333	0.430704900667	0.421073208667	0.401500266667	0.549014788	0.346424418667	0.411005781333	0.36037118	0.370444228667	0.557566715333	0.295447106	0.475508859333	0.46680582	0.43878267	0.43714278	0.47766286	0.361017666667	0.329072348	0.419124632667	0.432285736	0.339792141333	0.396508280667	0.337540488	0.528745979333	0.345953746	0.424132014	0.466142577333	0.298259892667	0.425686804667	0.450458790667	0.339364116	0.487590708	0.351594211333	0.459233819333	0.392364652	0.431727034667	0.333623177333	0.385139041333	0.354552027333	0.382737628667	0.450755704667	0.391426896	0.363566974	0.393259822	0.364052266667	0.306980097333	0.47426345	0.402894722667	0.430308366667	0.390113217333	0.318426967333	0.438249808667	0.410621532	0.429191528667	0.401584143333	0.561366160667	0.462895263333	0.487637383333	0.475216996667	0.273176956667	0.513847066	0.332751100667	0.467266258667	0.424971956667	0.414199202	0.41879407	0.458063822667	0.289132264	0.529316917333	0.453308056	0.420645234667	0.301984716	0.411112042	0.333503462667	0.397206854	0.433041051333	0.43382418
France.DC2	0.528852459333	0.620793703333	0.68634602	0.492428844667	0.568689432667	0.354630556	0.617625959333	0.464615762	0.451842937333	0.0	0.459752686	0.459712642	0.573987749333	0.392561399333	0.428007292	0.438758996667	0.428522958667	0.413191756	0.410948891333	0.513429951333	0.617421542667	0.403884476	0.426215235333	0.418501768667	0.433897858	0.394617414	0.456654609333	0.517678028	0.462333832667	0.450517766	0.441817304667	0.425352139333	0.470862579333	0.444978143333	0.40666287	0.426603661333	0.344139025333	0.410601982	0.421325868667	0.579383734667	0.461839156667	0.687374921333	0.399309086	0.324149918	0.434009661333	0.46497261	0.436549400667	0.42904046	0.49649446	0.370286115333	0.424874079333	0.529830064667	0.699542642	0.568448751333	0.417972941333	0.309941273333	0.735498926	0.505191335333	0.491035954	0.601390832667	0.425382829333	0.432326814667	0.420032275333	0.535167318	0.505860408	0.428766208	0.445464862667	0.510666939333	0.421520566667	0.477322347333	0.455588450667	0.481590529333	0.35287046	0.440813583333	0.405549227333	0.34893688	0.549739109333	0.52300498	0.430557734667	0.543630924	0.445637802	0.609611811333	0.430652875333	0.517244578	0.463171229333	0.496382875333	0.49277164	0.474552782667	0.415902412	0.500378088	0.416561684667	0.502941809333	0.440733138667	0.484350240667	0.433120598667	0.526892716667	0.319212075333	0.348694927333	0.473455136	0.371330583333	0.432324286	0.394438056	0.514469544	0.673696338667	0.474769174	0.340625580667	0.481413257333	0.483130737333	0.464359382667	0.283340525333	0.412812498	0.541908795333	0.458647778	0.344564153333	0.320031208667	0.381276874	0.451844988	0.527083145333	0.670195646	0.45885444	0.422289788	0.390109546667	0.553250587333	0.452410484667	0.563262696	0.444555919333	0.450754091333	0.554037276667	0.508067640667	0.681982898	0.413812102	0.476698460667	0.564401031333	0.500950015333	0.468850877333	0.609729163333	0.453935692667	0.479744320667	0.498194686667	0.473045433333	0.492188358667	0.447416358667	0.42443956	0.439154348	0.451211084667	0.475163898667	0.407979015333	0.507037563333	0.413035794667
