#SampleID	age	age_group	age_unit	altitude	anonymized_name	antibiotics	assigned_from_geo	bcs	bcs_grouping	body_habitat	body_product	body_site	breed	breed_grouping	country	crude_fiber_1000kcalg_me_group	depth	description	dewormed	disease_stat	dna_extracted	elevation	env_biome	env_feature	env_matter	g_fat_1000kcal_me_group	g_protein_1000kcal_me_group	gender_specific	histo	host_subject_id	host_taxid	indoor_outdoor	latitude	longitude	perc_crude_protein_min_group	percent_crude_fat_min_group	percent_crude_fiber_max_group	percent_met_cal_carb_group	percent_met_cal_fat_group	percent_met_cal_protein_group	physical_specimen_remaining	prebotic_source	protein_source	public	sample_type	scientific_name	sex	size_grouping	state	taxon_id	title	tot_mass	travel_history	weight_group	weight_kg
AHD.11	2.0	1.0	years	0	AHD.11	maybe_no	False			UBERON:feces	UBERON:feces	UBERON:feces	Chihuahua	Toy/Companion	GAZ:Germany		0	IBD1_AHD-11_B5_R.K.1.20.12	False	acute hem. diarrhea	True	202.27	ENVO:urban biome	ENVO:animal-associated habitat	ENVO:feces			F		Canis lupus familiaris	9615		51.17	10.45							False			False	stool	gut metagenome	female	small		749906	Suchodolski_dog_ibd	1.5	False	1.0	1.5
AHD.12	4.0	2.0	years	0	AHD.12	maybe_no	False			UBERON:feces	UBERON:feces	UBERON:feces	Berger_Picard	Working	GAZ:Germany		0	IBD1_AHD-12_B6_R.K.1.20.12		acute hem. diarrhea	True	202.27	ENVO:urban biome	ENVO:animal-associated habitat	ENVO:feces			MC		Canis lupus familiaris	9615		51.17	10.45							False			False	stool	gut metagenome	male	medium		749906	Suchodolski_dog_ibd	33.6	False	4.0	33.6
AHD.13	8.0	3.0	years	0	AHD.13	maybe_no	False			UBERON:feces	UBERON:feces	UBERON:feces	Mixed_Breed	Mixed	GAZ:Germany		0	IBD1_AHD-13_B7_R.K.1.20.12	True	acute hem. diarrhea	True	202.27	ENVO:urban biome	ENVO:animal-associated habitat	ENVO:feces			FS		Canis lupus familiaris	9615		51.17	10.45							False			False	stool	gut metagenome	female			749906	Suchodolski_dog_ibd	7.2	False	1.0	7.2
AHD.14	4.0	2.0	years	0	AHD.14	definite_yes	False			UBERON:feces	UBERON:feces	UBERON:feces	Shar_pei	Working	GAZ:Germany		0	IBD1_AHD-14_B8_R.K.1.20.12		acute hem. diarrhea	True	202.27	ENVO:urban biome	ENVO:animal-associated habitat	ENVO:feces			FS		Canis lupus familiaris	9615		51.17	10.45							False			False	stool	gut metagenome	female	medium		749906	Suchodolski_dog_ibd	19.2	True	2.0	19.2
AHD.15	1.0	1.0	years	0	AHD.15	definite_yes	False			UBERON:feces	UBERON:feces	UBERON:feces	German_Shepherd_Dog_Mix	Working	GAZ:Germany		0	IBD1_AHD-15_B9_R.K.1.20.12	False	acute hem. diarrhea	True	202.27	ENVO:urban biome	ENVO:animal-associated habitat	ENVO:feces			M		Canis lupus familiaris	9615		51.17	10.45							False			False	stool	gut metagenome	male	large		749906	Suchodolski_dog_ibd	42.0	True	5.0	42.0
AHD.16	2.0	1.0	years	0	AHD.16	definite_yes	False			UBERON:feces	UBERON:feces	UBERON:feces	West_Highland_White_Terrier	Terrier	GAZ:Germany		0	IBD1_AHD-16_B10_R.K.1.20.12	False	acute hem. diarrhea	True	202.27	ENVO:urban biome	ENVO:animal-associated habitat	ENVO:feces			F		Canis lupus familiaris	9615		51.17	10.45							False			False	stool	gut metagenome	female	small		749906	Suchodolski_dog_ibd	7.0	True	1.0	7.0
AHD.17	5.0	2.0	years	0	AHD.17	maybe_no	False			UBERON:feces	UBERON:feces	UBERON:feces	Labrador_Retriever_mix	Sporting	GAZ:Germany		0	IBD1_AHD-17_B11_R.K.1.20.12	False	acute hem. diarrhea	True	202.27	ENVO:urban biome	ENVO:animal-associated habitat	ENVO:feces			MC		Canis lupus familiaris	9615		51.17	10.45							False			False	stool	gut metagenome	male	large		749906	Suchodolski_dog_ibd	35.2	False	4.0	35.2
AHD.18	6.0	3.0	years	0	AHD.18	definite_yes	False			UBERON:feces	UBERON:feces	UBERON:feces	Cairn_Terrier	Terrier	GAZ:Germany		0	IBD1_AHD-18_B12_R.K.1.20.12	False	acute hem. diarrhea	True	202.27	ENVO:urban biome	ENVO:animal-associated habitat	ENVO:feces			FS		Canis lupus familiaris	9615		51.17	10.45							False			False	stool	gut metagenome	female	small		749906	Suchodolski_dog_ibd	10.4	True	1.0	10.4
AHD.19	3.0	2.0	years	0	AHD.19	definite_yes	False			UBERON:feces	UBERON:feces	UBERON:feces	Fox_Terrier	Terrier	GAZ:Germany		0	IBD1_AHD-19_C1_R.K.1.20.12	False	acute hem. diarrhea	True	202.27	ENVO:urban biome	ENVO:animal-associated habitat	ENVO:feces			M		Canis lupus familiaris	9615		51.17	10.45							False			False	stool	gut metagenome	male	small		749906	Suchodolski_dog_ibd	12.0	True	2.0	12.0
AHD.21	7.0	3.0	years	0	AHD.21	maybe_no	False			UBERON:feces	UBERON:feces	UBERON:feces	Podenco	Hound	GAZ:Germany		0	IBD1_AHD-21_C2_R.K.1.20.12	True	acute hem. diarrhea	True	202.27	ENVO:urban biome	ENVO:animal-associated habitat	ENVO:feces			F		Canis lupus familiaris	9615		51.17	10.45							False			False	stool	gut metagenome	female	medium		749906	Suchodolski_dog_ibd	16.0	False	2.0	16.0
AHD.22	12.0	4.0	years	0	AHD.22	definite_yes	False			UBERON:feces	UBERON:feces	UBERON:feces	Golden_Retriever	Sporting	GAZ:Germany		0	IBD1_AHD-22_C3_R.K.1.20.12		acute hem. diarrhea	True	202.27	ENVO:urban biome	ENVO:animal-associated habitat	ENVO:feces			FS		Canis lupus familiaris	9615		51.17	10.45							False			False	stool	gut metagenome	female	medium		749906	Suchodolski_dog_ibd	29.0	True	3.0	29.0
AHD.23	10.0	4.0	years	0	AHD.23	maybe_no	False			UBERON:feces	UBERON:feces	UBERON:feces	Afghan_Hound	Hound	GAZ:Germany		0	IBD1_AHD-23_C4_R.K.1.20.12	True	acute hem. diarrhea	True	202.27	ENVO:urban biome	ENVO:animal-associated habitat	ENVO:feces			FS		Canis lupus familiaris	9615		51.17	10.45							False			False	stool	gut metagenome	female	large		749906	Suchodolski_dog_ibd	23.4	False	3.0	23.4
